county,precinct,office,district,candidate,candidate_first,candidate_middle,candidate_last,candidate_suffix,party,votes
Sedgwick,217,President,,WRITE-IN,,,,,,2
Sedgwick,218 & 220,President,,Barack Obama,Barack,,Obama,,Democratic,693
Sedgwick,218 & 220,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,5
Sedgwick,218 & 220,President,,Gary Johnson,Gary,,Johnson,,Libertarian,26
Sedgwick,218 & 220,President,,Mitt Romney,Mitt,,Romney,,Republican,1233
Sedgwick,218 & 220,President,,WRITE-IN,,,,,,15
Sedgwick,221,President,,Barack Obama,Barack,,Obama,,Democratic,262
Sedgwick,221,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,2
Sedgwick,221,President,,Gary Johnson,Gary,,Johnson,,Libertarian,10
Sedgwick,221,President,,Mitt Romney,Mitt,,Romney,,Republican,530
Sedgwick,221,President,,WRITE-IN,,,,,,2
Sedgwick,222,President,,Barack Obama,Barack,,Obama,,Democratic,315
Sedgwick,222,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,3
Sedgwick,222,President,,Gary Johnson,Gary,,Johnson,,Libertarian,17
Sedgwick,222,President,,Mitt Romney,Mitt,,Romney,,Republican,685
Sedgwick,222,President,,WRITE-IN,,,,,,1
Sedgwick,223,President,,Barack Obama,Barack,,Obama,,Democratic,369
Sedgwick,223,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,5
Sedgwick,223,President,,Gary Johnson,Gary,,Johnson,,Libertarian,16
Sedgwick,223,President,,Mitt Romney,Mitt,,Romney,,Republican,904
Sedgwick,223,President,,WRITE-IN,,,,,,2
Sedgwick,224,President,,Barack Obama,Barack,,Obama,,Democratic,604
Sedgwick,224,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,3
Sedgwick,224,President,,Gary Johnson,Gary,,Johnson,,Libertarian,19
Sedgwick,224,President,,Mitt Romney,Mitt,,Romney,,Republican,716
Sedgwick,224,President,,WRITE-IN,,,,,,9
Sedgwick,225,President,,Barack Obama,Barack,,Obama,,Democratic,626
Sedgwick,225,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,8
Sedgwick,225,President,,Gary Johnson,Gary,,Johnson,,Libertarian,28
Sedgwick,225,President,,Mitt Romney,Mitt,,Romney,,Republican,787
Sedgwick,225,President,,WRITE-IN,,,,,,11
Sedgwick,226,President,,Barack Obama,Barack,,Obama,,Democratic,557
Sedgwick,226,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,0
Sedgwick,226,President,,Gary Johnson,Gary,,Johnson,,Libertarian,23
Sedgwick,226,President,,Mitt Romney,Mitt,,Romney,,Republican,1154
Sedgwick,226,President,,WRITE-IN,,,,,,13
Sedgwick,227,President,,Barack Obama,Barack,,Obama,,Democratic,336
Sedgwick,227,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,1
Sedgwick,227,President,,Gary Johnson,Gary,,Johnson,,Libertarian,14
Sedgwick,227,President,,Mitt Romney,Mitt,,Romney,,Republican,902
Sedgwick,227,President,,WRITE-IN,,,,,,6
Sedgwick,228,President,,Barack Obama,Barack,,Obama,,Democratic,220
Sedgwick,228,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,0
Sedgwick,228,President,,Gary Johnson,Gary,,Johnson,,Libertarian,22
Sedgwick,228,President,,Mitt Romney,Mitt,,Romney,,Republican,924
Sedgwick,228,President,,WRITE-IN,,,,,,0
Sedgwick,231,President,,Barack Obama,Barack,,Obama,,Democratic,295
Sedgwick,231,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,0
Sedgwick,231,President,,Gary Johnson,Gary,,Johnson,,Libertarian,10
Sedgwick,231,President,,Mitt Romney,Mitt,,Romney,,Republican,202
Sedgwick,231,President,,WRITE-IN,,,,,,4
Sedgwick,233,President,,Barack Obama,Barack,,Obama,,Democratic,190
Sedgwick,233,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,1
Sedgwick,233,President,,Gary Johnson,Gary,,Johnson,,Libertarian,3
Sedgwick,233,President,,Mitt Romney,Mitt,,Romney,,Republican,278
Sedgwick,233,President,,WRITE-IN,,,,,,3
Sedgwick,234,President,,Barack Obama,Barack,,Obama,,Democratic,100
Sedgwick,234,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,1
Sedgwick,234,President,,Gary Johnson,Gary,,Johnson,,Libertarian,8
Sedgwick,234,President,,Mitt Romney,Mitt,,Romney,,Republican,91
Sedgwick,234,President,,WRITE-IN,,,,,,0
Sedgwick,235,President,,Barack Obama,Barack,,Obama,,Democratic,179
Sedgwick,235,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,0
Sedgwick,235,President,,Gary Johnson,Gary,,Johnson,,Libertarian,8
Sedgwick,235,President,,Mitt Romney,Mitt,,Romney,,Republican,132
Sedgwick,235,President,,WRITE-IN,,,,,,1
Sedgwick,236,President,,Barack Obama,Barack,,Obama,,Democratic,208
Sedgwick,236,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,1
Sedgwick,236,President,,Gary Johnson,Gary,,Johnson,,Libertarian,9
Sedgwick,236,President,,Mitt Romney,Mitt,,Romney,,Republican,584
Sedgwick,236,President,,WRITE-IN,,,,,,2
Sedgwick,301,President,,Barack Obama,Barack,,Obama,,Democratic,247
Sedgwick,301,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,3
Sedgwick,301,President,,Gary Johnson,Gary,,Johnson,,Libertarian,12
Sedgwick,301,President,,Mitt Romney,Mitt,,Romney,,Republican,195
Sedgwick,301,President,,WRITE-IN,,,,,,9
Sedgwick,302,President,,Barack Obama,Barack,,Obama,,Democratic,470
Sedgwick,302,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,5
Sedgwick,302,President,,Gary Johnson,Gary,,Johnson,,Libertarian,35
Sedgwick,302,President,,Mitt Romney,Mitt,,Romney,,Republican,361
Sedgwick,302,President,,WRITE-IN,,,,,,4
Sedgwick,303,President,,Barack Obama,Barack,,Obama,,Democratic,182
Sedgwick,303,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,2
Sedgwick,303,President,,Gary Johnson,Gary,,Johnson,,Libertarian,12
Sedgwick,303,President,,Mitt Romney,Mitt,,Romney,,Republican,210
Sedgwick,303,President,,WRITE-IN,,,,,,3
Sedgwick,304,President,,Barack Obama,Barack,,Obama,,Democratic,205
Sedgwick,304,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,1
Sedgwick,304,President,,Gary Johnson,Gary,,Johnson,,Libertarian,13
Sedgwick,304,President,,Mitt Romney,Mitt,,Romney,,Republican,210
Sedgwick,304,President,,WRITE-IN,,,,,,4
Sedgwick,305,President,,Barack Obama,Barack,,Obama,,Democratic,687
Sedgwick,305,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,5
Sedgwick,305,President,,Gary Johnson,Gary,,Johnson,,Libertarian,31
Sedgwick,305,President,,Mitt Romney,Mitt,,Romney,,Republican,645
Sedgwick,305,President,,WRITE-IN,,,,,,5
Sedgwick,306,President,,Barack Obama,Barack,,Obama,,Democratic,739
Sedgwick,306,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,7
Sedgwick,306,President,,Gary Johnson,Gary,,Johnson,,Libertarian,34
Sedgwick,306,President,,Mitt Romney,Mitt,,Romney,,Republican,551
Sedgwick,306,President,,WRITE-IN,,,,,,8
Sedgwick,307,President,,Barack Obama,Barack,,Obama,,Democratic,378
Sedgwick,307,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,1
Sedgwick,307,President,,Gary Johnson,Gary,,Johnson,,Libertarian,9
Sedgwick,307,President,,Mitt Romney,Mitt,,Romney,,Republican,204
Sedgwick,307,President,,WRITE-IN,,,,,,6
Sedgwick,308,President,,Barack Obama,Barack,,Obama,,Democratic,601
Sedgwick,308,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,2
Sedgwick,308,President,,Gary Johnson,Gary,,Johnson,,Libertarian,22
Sedgwick,308,President,,Mitt Romney,Mitt,,Romney,,Republican,395
Sedgwick,308,President,,WRITE-IN,,,,,,7
Sedgwick,309,President,,Barack Obama,Barack,,Obama,,Democratic,535
Sedgwick,309,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,5
Sedgwick,309,President,,Gary Johnson,Gary,,Johnson,,Libertarian,22
Sedgwick,309,President,,Mitt Romney,Mitt,,Romney,,Republican,381
Sedgwick,309,President,,WRITE-IN,,,,,,16
Sedgwick,310,President,,Barack Obama,Barack,,Obama,,Democratic,245
Sedgwick,310,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,5
Sedgwick,310,President,,Gary Johnson,Gary,,Johnson,,Libertarian,7
Sedgwick,310,President,,Mitt Romney,Mitt,,Romney,,Republican,117
Sedgwick,310,President,,WRITE-IN,,,,,,1
Sedgwick,311,President,,Barack Obama,Barack,,Obama,,Democratic,215
Sedgwick,311,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,7
Sedgwick,311,President,,Gary Johnson,Gary,,Johnson,,Libertarian,8
Sedgwick,311,President,,Mitt Romney,Mitt,,Romney,,Republican,236
Sedgwick,311,President,,WRITE-IN,,,,,,1
Sedgwick,312,President,,Barack Obama,Barack,,Obama,,Democratic,207
Sedgwick,312,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,1
Sedgwick,312,President,,Gary Johnson,Gary,,Johnson,,Libertarian,6
Sedgwick,312,President,,Mitt Romney,Mitt,,Romney,,Republican,190
Sedgwick,312,President,,WRITE-IN,,,,,,10
Sedgwick,313,President,,Barack Obama,Barack,,Obama,,Democratic,505
Sedgwick,313,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,7
Sedgwick,313,President,,Gary Johnson,Gary,,Johnson,,Libertarian,24
Sedgwick,313,President,,Mitt Romney,Mitt,,Romney,,Republican,430
Sedgwick,313,President,,WRITE-IN,,,,,,9
Sedgwick,314,President,,Barack Obama,Barack,,Obama,,Democratic,505
Sedgwick,314,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,6
Sedgwick,314,President,,Gary Johnson,Gary,,Johnson,,Libertarian,20
Sedgwick,314,President,,Mitt Romney,Mitt,,Romney,,Republican,509
Sedgwick,314,President,,WRITE-IN,,,,,,8
Sedgwick,315,President,,Barack Obama,Barack,,Obama,,Democratic,415
Sedgwick,315,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,9
Sedgwick,315,President,,Gary Johnson,Gary,,Johnson,,Libertarian,29
Sedgwick,315,President,,Mitt Romney,Mitt,,Romney,,Republican,391
Sedgwick,315,President,,WRITE-IN,,,,,,12
Sedgwick,316,President,,Barack Obama,Barack,,Obama,,Democratic,404
Sedgwick,316,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,8
Sedgwick,316,President,,Gary Johnson,Gary,,Johnson,,Libertarian,27
Sedgwick,316,President,,Mitt Romney,Mitt,,Romney,,Republican,613
Sedgwick,316,President,,WRITE-IN,,,,,,7
Sedgwick,317,President,,Barack Obama,Barack,,Obama,,Democratic,9
Sedgwick,317,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,0
Sedgwick,317,President,,Gary Johnson,Gary,,Johnson,,Libertarian,0
Sedgwick,317,President,,Mitt Romney,Mitt,,Romney,,Republican,6
Sedgwick,317,President,,WRITE-IN,,,,,,0
Sedgwick,318,President,,Barack Obama,Barack,,Obama,,Democratic,6
Sedgwick,318,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,0
Sedgwick,318,President,,Gary Johnson,Gary,,Johnson,,Libertarian,0
Sedgwick,318,President,,Mitt Romney,Mitt,,Romney,,Republican,22
