county,precinct,office,district,party,candidate,votes,Election Night,Advance,Provisional
Lane,Dighton Twp 3,Secretary of State,,R,Kris Kobach,16,10,6,0
Lane,White Rock Twp,Secretary of State,,R,Kris Kobach,7,6,1,0
Lane,Wilson Twp,Secretary of State,,R,Kris Kobach,28,22,6,0
Lane,Alamota Twp,State House,118,R,Don Hineman,25,19,5,1
Lane,Cheyenne Twp,State House,118,R,Don Hineman,101,86,9,6
Lane,Dighton City 1,State House,118,R,Don Hineman,156,105,42,9
Lane,Dighton City 2,State House,118,R,Don Hineman,198,154,40,4
Lane,Dighton City 3,State House,118,R,Don Hineman,61,47,10,4
Lane,Dighton Twp 1,State House,118,R,Don Hineman,40,31,6,3
Lane,Dighton Twp 2,State House,118,R,Don Hineman,55,40,15,0
Lane,Dighton Twp 3,State House,118,R,Don Hineman,19,12,7,0
Lane,White Rock Twp,State House,118,R,Don Hineman,10,9,1,0
Lane,Wilson Twp,State House,118,R,Don Hineman,31,25,6,0
Lane,Alamota Twp,State Treasurer,,D,Carmen Alldritt,6,4,2,0
Lane,Cheyenne Twp,State Treasurer,,D,Carmen Alldritt,8,7,1,0
Lane,Dighton City 1,State Treasurer,,D,Carmen Alldritt,26,17,9,0
Lane,Dighton City 2,State Treasurer,,D,Carmen Alldritt,29,16,12,1
Lane,Dighton City 3,State Treasurer,,D,Carmen Alldritt,5,2,1,2
Lane,Dighton Twp 1,State Treasurer,,D,Carmen Alldritt,9,5,2,2
Lane,Dighton Twp 2,State Treasurer,,D,Carmen Alldritt,5,1,4,0
Lane,Dighton Twp 3,State Treasurer,,D,Carmen Alldritt,3,2,1,0
Lane,White Rock Twp,State Treasurer,,D,Carmen Alldritt,1,1,0,0
Lane,Wilson Twp,State Treasurer,,D,Carmen Alldritt,2,2,0,0
Lane,Alamota Twp,State Treasurer,,R,Ron Estes,27,20,6,1
Lane,Cheyenne Twp,State Treasurer,,R,Ron Estes,102,87,9,6
Lane,Dighton City 1,State Treasurer,,R,Ron Estes,139,97,34,8
Lane,Dighton City 2,State Treasurer,,R,Ron Estes,173,142,28,3
Lane,Dighton City 3,State Treasurer,,R,Ron Estes,59,49,8,2
Lane,Dighton Twp 1,State Treasurer,,R,Ron Estes,31,27,3,1
Lane,Dighton Twp 2,State Treasurer,,R,Ron Estes,50,38,12,0
Lane,Dighton Twp 3,State Treasurer,,R,Ron Estes,19,13,6,0
Lane,White Rock Twp,State Treasurer,,R,Ron Estes,11,9,2,0
Lane,Wilson Twp,State Treasurer,,R,Ron Estes,31,25,6,0
Lane,Alamota Twp,U.S. Senate,,I,Greg Orman,7,6,1,0
Lane,Cheyenne Twp,U.S. Senate,,I,Greg Orman,23,18,3,2
Lane,Dighton City 1,U.S. Senate,,I,Greg Orman,47,32,14,1
Lane,Dighton City 2,U.S. Senate,,I,Greg Orman,43,32,10,1
Lane,Dighton City 3,U.S. Senate,,I,Greg Orman,12,8,2,2
Lane,Dighton Twp 1,U.S. Senate,,I,Greg Orman,8,5,2,1
Lane,Dighton Twp 2,U.S. Senate,,I,Greg Orman,8,2,6,0
Lane,Dighton Twp 3,U.S. Senate,,I,Greg Orman,4,3,1,0
Lane,White Rock Twp,U.S. Senate,,I,Greg Orman,3,2,1,0
Lane,Wilson Twp,U.S. Senate,,I,Greg Orman,4,4,0,0
Lane,Alamota Twp,U.S. Senate,,R,Pat Roberts,27,19,7,1
Lane,Cheyenne Twp,U.S. Senate,,R,Pat Roberts,89,78,8,3
Lane,Dighton City 1,U.S. Senate,,R,Pat Roberts,120,84,29,7
Lane,Dighton City 2,U.S. Senate,,R,Pat Roberts,158,127,28,3
Lane,Dighton City 3,U.S. Senate,,R,Pat Roberts,50,40,8,2
Lane,Dighton Twp 1,U.S. Senate,,R,Pat Roberts,32,28,3,1
Lane,Dighton Twp 2,U.S. Senate,,R,Pat Roberts,46,36,10,0
Lane,Dighton Twp 3,U.S. Senate,,R,Pat Roberts,18,12,6,0
Lane,White Rock Twp,U.S. Senate,,R,Pat Roberts,9,8,1,0
Lane,Wilson Twp,U.S. Senate,,R,Pat Roberts,31,25,6,0
Lane,Alamota Twp,U.S. Senate,,L,Randall Batson,1,0,1,0
Lane,Cheyenne Twp,U.S. Senate,,L,Randall Batson,3,2,0,1
Lane,Dighton City 1,U.S. Senate,,L,Randall Batson,5,4,1,0
Lane,Dighton City 2,U.S. Senate,,L,Randall Batson,9,5,4,0
Lane,Dighton City 3,U.S. Senate,,L,Randall Batson,3,3,0,0
Lane,Dighton Twp 1,U.S. Senate,,L,Randall Batson,2,0,1,1
Lane,Dighton Twp 2,U.S. Senate,,L,Randall Batson,1,1,0,0
Lane,Dighton Twp 3,U.S. Senate,,L,Randall Batson,0,0,0,0
Lane,White Rock Twp,U.S. Senate,,L,Randall Batson,0,0,0,0
Lane,Wilson Twp,U.S. Senate,,L,Randall Batson,1,1,0,0
