county,precinct,office,district,party,candidate,votes,early,advance,poll,provisional
Cherokee,0003 Baxter Sprs W3,U.S. House,2,LIB,Christopher Clemmons,18,1,3,13,1
Cherokee,0004 Baxter Sprs W4,U.S. House,2,LIB,Christopher Clemmons,16,1,0,15,0
Cherokee,0005 Columbus W1,U.S. House,2,LIB,Christopher Clemmons,12,0,1,11,0
Cherokee,0006 Columbus W2,U.S. House,2,LIB,Christopher Clemmons,6,0,0,6,0
Cherokee,0007 Columbus W3,U.S. House,2,LIB,Christopher Clemmons,13,1,2,10,0
Cherokee,0008 Columbus W4,U.S. House,2,LIB,Christopher Clemmons,10,0,1,9,0
Cherokee,0009 Columbus W5,U.S. House,2,LIB,Christopher Clemmons,7,0,0,7,0
Cherokee,0010 Galena W1,U.S. House,2,LIB,Christopher Clemmons,8,0,2,4,2
Cherokee,0011 Galena W2,U.S. House,2,LIB,Christopher Clemmons,11,0,1,10,0
Cherokee,0012 Galena W3,U.S. House,2,LIB,Christopher Clemmons,14,0,3,11,0
Cherokee,0013 Galena W4,U.S. House,2,LIB,Christopher Clemmons,7,0,0,7,0
Cherokee,0014 Scammon W1,U.S. House,2,LIB,Christopher Clemmons,3,0,1,2,0
Cherokee,0015 Scammon W2,U.S. House,2,LIB,Christopher Clemmons,8,0,1,7,0
Cherokee,0016 Scammon W3,U.S. House,2,LIB,Christopher Clemmons,3,0,0,3,0
Cherokee,0017 Weir W1,U.S. House,2,LIB,Christopher Clemmons,1,0,0,1,0
Cherokee,0018 Weir W2,U.S. House,2,LIB,Christopher Clemmons,9,0,0,9,0
Cherokee,0019 Weir W3,U.S. House,2,LIB,Christopher Clemmons,4,0,1,3,0
Cherokee,0001 Baxter Sprs W1,U.S. House,2,REP,Lynn Jenkins,133,1,12,115,5
Cherokee,0002 Baxter Sprs W2,U.S. House,2,REP,Lynn Jenkins,86,3,5,76,2
Cherokee,0003 Baxter Sprs W3,U.S. House,2,REP,Lynn Jenkins,289,8,8,268,5
Cherokee,0004 Baxter Sprs W4,U.S. House,2,REP,Lynn Jenkins,134,7,11,109,7
Cherokee,0005 Columbus W1,U.S. House,2,REP,Lynn Jenkins,92,9,9,73,1
Cherokee,0006 Columbus W2,U.S. House,2,REP,Lynn Jenkins,179,23,15,141,0
Cherokee,0007 Columbus W3,U.S. House,2,REP,Lynn Jenkins,166,13,14,138,1
Cherokee,0008 Columbus W4,U.S. House,2,REP,Lynn Jenkins,98,9,8,81,0
Cherokee,0009 Columbus W5,U.S. House,2,REP,Lynn Jenkins,109,7,21,80,1
Cherokee,0010 Galena W1,U.S. House,2,REP,Lynn Jenkins,102,4,6,86,6
Cherokee,0011 Galena W2,U.S. House,2,REP,Lynn Jenkins,87,3,10,71,3
Cherokee,0012 Galena W3,U.S. House,2,REP,Lynn Jenkins,146,1,14,130,1
Cherokee,0013 Galena W4,U.S. House,2,REP,Lynn Jenkins,59,0,9,50,0
Cherokee,0014 Scammon W1,U.S. House,2,REP,Lynn Jenkins,20,2,0,17,1
Cherokee,0015 Scammon W2,U.S. House,2,REP,Lynn Jenkins,23,3,3,17,0
Cherokee,0016 Scammon W3,U.S. House,2,REP,Lynn Jenkins,33,1,3,29,0
Cherokee,0017 Weir W1,U.S. House,2,REP,Lynn Jenkins,24,0,0,24,0
Cherokee,0018 Weir W2,U.S. House,2,REP,Lynn Jenkins,45,1,7,36,1
Cherokee,0019 Weir W3,U.S. House,2,REP,Lynn Jenkins,28,0,4,24,0
Cherokee,0001 Baxter Sprs W1,U.S. House,2,DEM,Margie Wakefield,47,1,6,40,0
Cherokee,0002 Baxter Sprs W2,U.S. House,2,DEM,Margie Wakefield,34,2,7,21,4
Cherokee,0003 Baxter Sprs W3,U.S. House,2,DEM,Margie Wakefield,99,6,10,80,3
Cherokee,0004 Baxter Sprs W4,U.S. House,2,DEM,Margie Wakefield,50,3,5,39,3
Cherokee,0005 Columbus W1,U.S. House,2,DEM,Margie Wakefield,33,5,6,22,0
Cherokee,0006 Columbus W2,U.S. House,2,DEM,Margie Wakefield,74,8,14,52,0
Cherokee,0007 Columbus W3,U.S. House,2,DEM,Margie Wakefield,59,6,11,41,1
Cherokee,0008 Columbus W4,U.S. House,2,DEM,Margie Wakefield,36,5,10,21,0
Cherokee,0009 Columbus W5,U.S. House,2,DEM,Margie Wakefield,64,6,15,43,0
Cherokee,0010 Galena W1,U.S. House,2,DEM,Margie Wakefield,49,2,6,39,2
Cherokee,0011 Galena W2,U.S. House,2,DEM,Margie Wakefield,32,0,4,28,0
Cherokee,0012 Galena W3,U.S. House,2,DEM,Margie Wakefield,59,0,5,50,4
Cherokee,0013 Galena W4,U.S. House,2,DEM,Margie Wakefield,23,0,2,21,0
Cherokee,0014 Scammon W1,U.S. House,2,DEM,Margie Wakefield,17,1,0,16,0
Cherokee,0015 Scammon W2,U.S. House,2,DEM,Margie Wakefield,14,0,1,13,0
Cherokee,0016 Scammon W3,U.S. House,2,DEM,Margie Wakefield,27,3,3,21,0
Cherokee,0017 Weir W1,U.S. House,2,DEM,Margie Wakefield,20,1,1,16,2
Cherokee,0018 Weir W2,U.S. House,2,DEM,Margie Wakefield,46,0,1,44,1
Cherokee,0019 Weir W3,U.S. House,2,DEM,Margie Wakefield,29,1,5,23,0
Cherokee,0002 Baxter Sprs W2,U.S. House,2,,Write-ins,1,0,0,1,0
Cherokee,0007 Columbus W3,U.S. House,2,,Write-ins,1,0,0,1,0
Cherokee,0015 Scammon W2,U.S. House,2,,Write-ins,1,0,1,0,0
Cherokee,0018 Weir W2,U.S. House,2,,Write-ins,1,0,0,1,0
Cherokee,0001 Baxter Sprs W1,Governor,,LIB,Keen A. Umbehr,5,0,0,4,1
Cherokee,0002 Baxter Sprs W2,Governor,,LIB,Keen A. Umbehr,11,0,0,11,0
Cherokee,0003 Baxter Sprs W3,Governor,,LIB,Keen A. Umbehr,11,0,1,10,0
Cherokee,0004 Baxter Sprs W4,Governor,,LIB,Keen A. Umbehr,12,0,0,11,1
Cherokee,0005 Columbus W1,Governor,,LIB,Keen A. Umbehr,11,2,1,8,0
Cherokee,0006 Columbus W2,Governor,,LIB,Keen A. Umbehr,5,0,0,5,0
Cherokee,0007 Columbus W3,Governor,,LIB,Keen A. Umbehr,13,2,0,10,1
Cherokee,0008 Columbus W4,Governor,,LIB,Keen A. Umbehr,5,0,2,3,0
Cherokee,0009 Columbus W5,Governor,,LIB,Keen A. Umbehr,7,2,0,5,0
Cherokee,0010 Galena W1,Governor,,LIB,Keen A. Umbehr,7,1,2,4,0
Cherokee,0011 Galena W2,Governor,,LIB,Keen A. Umbehr,6,0,2,4,0
Cherokee,0012 Galena W3,Governor,,LIB,Keen A. Umbehr,9,0,1,8,0
Cherokee,0013 Galena W4,Governor,,LIB,Keen A. Umbehr,6,0,0,6,0
Cherokee,0014 Scammon W1,Governor,,LIB,Keen A. Umbehr,0,0,0,0,0
Cherokee,0015 Scammon W2,Governor,,LIB,Keen A. Umbehr,5,0,2,3,0
Cherokee,0016 Scammon W3,Governor,,LIB,Keen A. Umbehr,1,0,0,1,0
Cherokee,0017 Weir W1,Governor,,LIB,Keen A. Umbehr,0,0,0,0,0
Cherokee,0018 Weir W2,Governor,,LIB,Keen A. Umbehr,1,0,0,1,0
Cherokee,0019 Weir W3,Governor,,LIB,Keen A. Umbehr,3,0,0,3,0
Cherokee,0001 Baxter Sprs W1,Governor,,DEM,Paul Davis,61,1,7,52,1
Cherokee,0002 Baxter Sprs W2,Governor,,DEM,Paul Davis,55,2,7,42,4
Cherokee,0003 Baxter Sprs W3,Governor,,DEM,Paul Davis,146,6,11,125,4
Cherokee,0004 Baxter Sprs W4,Governor,,DEM,Paul Davis,68,5,6,53,4
Cherokee,0005 Columbus W1,Governor,,DEM,Paul Davis,51,6,7,38,0
Cherokee,0006 Columbus W2,Governor,,DEM,Paul Davis,104,12,13,79,0
Cherokee,0007 Columbus W3,Governor,,DEM,Paul Davis,93,8,17,67,1
Cherokee,0008 Columbus W4,Governor,,DEM,Paul Davis,53,7,12,34,0
Cherokee,0009 Columbus W5,Governor,,DEM,Paul Davis,79,4,19,56,0
Cherokee,0010 Galena W1,Governor,,DEM,Paul Davis,60,4,7,46,3
Cherokee,0011 Galena W2,Governor,,DEM,Paul Davis,49,1,6,42,0
Cherokee,0012 Galena W3,Governor,,DEM,Paul Davis,74,0,8,62,4
Cherokee,0013 Galena W4,Governor,,DEM,Paul Davis,24,0,1,23,0
Cherokee,0014 Scammon W1,Governor,,DEM,Paul Davis,27,2,1,24,0
Cherokee,0015 Scammon W2,Governor,,DEM,Paul Davis,21,0,2,19,0
Cherokee,0016 Scammon W3,Governor,,DEM,Paul Davis,34,3,3,28,0
Cherokee,0017 Weir W1,Governor,,DEM,Paul Davis,28,1,1,24,2
Cherokee,0018 Weir W2,Governor,,DEM,Paul Davis,63,1,1,60,1
Cherokee,0019 Weir W3,Governor,,DEM,Paul Davis,34,1,7,26,0
Cherokee,0001 Baxter Sprs W1,Governor,,REP,Sam Brownback,125,2,11,108,4
Cherokee,0002 Baxter Sprs W2,Governor,,REP,Sam Brownback,76,3,5,65,3
Cherokee,0003 Baxter Sprs W3,Governor,,REP,Sam Brownback,249,8,9,227,5
Cherokee,0004 Baxter Sprs W4,Governor,,REP,Sam Brownback,118,6,10,97,5
Cherokee,0005 Columbus W1,Governor,,REP,Sam Brownback,75,6,8,60,1
Cherokee,0006 Columbus W2,Governor,,REP,Sam Brownback,150,19,16,115,0
Cherokee,0007 Columbus W3,Governor,,REP,Sam Brownback,133,10,10,113,0
Cherokee,0008 Columbus W4,Governor,,REP,Sam Brownback,87,7,5,75,0
Cherokee,0009 Columbus W5,Governor,,REP,Sam Brownback,96,8,16,71,1
Cherokee,0010 Galena W1,Governor,,REP,Sam Brownback,90,1,4,78,7
Cherokee,0011 Galena W2,Governor,,REP,Sam Brownback,76,2,7,64,3
Cherokee,0012 Galena W3,Governor,,REP,Sam Brownback,136,1,13,121,1
Cherokee,0013 Galena W4,Governor,,REP,Sam Brownback,60,0,9,51,0
Cherokee,0014 Scammon W1,Governor,,REP,Sam Brownback,13,1,0,11,1
Cherokee,0015 Scammon W2,Governor,,REP,Sam Brownback,21,3,3,15,0
Cherokee,0016 Scammon W3,Governor,,REP,Sam Brownback,28,1,3,24,0
Cherokee,0017 Weir W1,Governor,,REP,Sam Brownback,18,0,0,18,0
Cherokee,0018 Weir W2,Governor,,REP,Sam Brownback,37,0,7,29,1
Cherokee,0019 Weir W3,Governor,,REP,Sam Brownback,23,0,2,21,0
Cherokee,0007 Columbus W3,Governor,,,Write-ins,1,0,0,1,0
Cherokee,0001 Baxter Sprs W1,Insurance Commissioner,,DEM,Dennis Anderson,58,1,8,46,3
Cherokee,0002 Baxter Sprs W2,Insurance Commissioner,,DEM,Dennis Anderson,54,2,7,41,4
Cherokee,0003 Baxter Sprs W3,Insurance Commissioner,,DEM,Dennis Anderson,128,6,11,108,3
Cherokee,0004 Baxter Sprs W4,Insurance Commissioner,,DEM,Dennis Anderson,66,6,8,48,4
Cherokee,0005 Columbus W1,Insurance Commissioner,,DEM,Dennis Anderson,60,7,7,45,1
Cherokee,0006 Columbus W2,Insurance Commissioner,,DEM,Dennis Anderson,78,7,13,58,0
Cherokee,0007 Columbus W3,Insurance Commissioner,,DEM,Dennis Anderson,76,8,14,52,2
Cherokee,0008 Columbus W4,Insurance Commissioner,,DEM,Dennis Anderson,56,5,12,39,0
Cherokee,0009 Columbus W5,Insurance Commissioner,,DEM,Dennis Anderson,82,6,20,56,0
Cherokee,0010 Galena W1,Insurance Commissioner,,DEM,Dennis Anderson,63,5,8,47,3
Cherokee,0011 Galena W2,Insurance Commissioner,,DEM,Dennis Anderson,45,0,5,40,0
Cherokee,0012 Galena W3,Insurance Commissioner,,DEM,Dennis Anderson,75,0,11,60,4
Cherokee,0013 Galena W4,Insurance Commissioner,,DEM,Dennis Anderson,37,0,5,32,0
Cherokee,0014 Scammon W1,Insurance Commissioner,,DEM,Dennis Anderson,22,1,0,21,0
Cherokee,0015 Scammon W2,Insurance Commissioner,,DEM,Dennis Anderson,22,0,2,20,0
Cherokee,0016 Scammon W3,Insurance Commissioner,,DEM,Dennis Anderson,30,3,3,24,0
Cherokee,0017 Weir W1,Insurance Commissioner,,DEM,Dennis Anderson,26,1,1,22,2
Cherokee,0018 Weir W2,Insurance Commissioner,,DEM,Dennis Anderson,59,0,1,57,1
Cherokee,0019 Weir W3,Insurance Commissioner,,DEM,Dennis Anderson,36,1,7,28,0
Cherokee,0001 Baxter Sprs W1,Insurance Commissioner,,REP,Ken Selzer,130,2,10,115,3
Cherokee,0002 Baxter Sprs W2,Insurance Commissioner,,REP,Ken Selzer,83,3,4,73,3
Cherokee,0003 Baxter Sprs W3,Insurance Commissioner,,REP,Ken Selzer,263,8,10,239,6
Cherokee,0004 Baxter Sprs W4,Insurance Commissioner,,REP,Ken Selzer,125,5,8,106,6
Cherokee,0005 Columbus W1,Insurance Commissioner,,REP,Ken Selzer,71,7,7,57,0
Cherokee,0006 Columbus W2,Insurance Commissioner,,REP,Ken Selzer,173,24,14,135,0
Cherokee,0007 Columbus W3,Insurance Commissioner,,REP,Ken Selzer,158,12,12,134,0
Cherokee,0008 Columbus W4,Insurance Commissioner,,REP,Ken Selzer,82,9,7,66,0
Cherokee,0009 Columbus W5,Insurance Commissioner,,REP,Ken Selzer,89,6,12,70,1
Cherokee,0010 Galena W1,Insurance Commissioner,,REP,Ken Selzer,90,1,5,76,8
Cherokee,0011 Galena W2,Insurance Commissioner,,REP,Ken Selzer,82,3,9,67,3
Cherokee,0012 Galena W3,Insurance Commissioner,,REP,Ken Selzer,137,1,11,124,1
Cherokee,0013 Galena W4,Insurance Commissioner,,REP,Ken Selzer,54,0,6,48,0
Cherokee,0014 Scammon W1,Insurance Commissioner,,REP,Ken Selzer,17,2,0,14,1
Cherokee,0015 Scammon W2,Insurance Commissioner,,REP,Ken Selzer,24,3,5,16,0
Cherokee,0016 Scammon W3,Insurance Commissioner,,REP,Ken Selzer,31,1,3,27,0
Cherokee,0017 Weir W1,Insurance Commissioner,,REP,Ken Selzer,20,0,0,20,0
Cherokee,0018 Weir W2,Insurance Commissioner,,REP,Ken Selzer,43,1,7,34,1
Cherokee,0019 Weir W3,Insurance Commissioner,,REP,Ken Selzer,25,0,3,22,0
Cherokee,0001 Baxter Sprs W1,Secretary of State,,DEM,Jean Kurtis Schodorf,57,1,7,46,3
Cherokee,0002 Baxter Sprs W2,Secretary of State,,DEM,Jean Kurtis Schodorf,48,2,6,36,4
Cherokee,0003 Baxter Sprs W3,Secretary of State,,DEM,Jean Kurtis Schodorf,128,7,11,107,3
Cherokee,0004 Baxter Sprs W4,Secretary of State,,DEM,Jean Kurtis Schodorf,68,6,8,51,3
Cherokee,0005 Columbus W1,Secretary of State,,DEM,Jean Kurtis Schodorf,47,7,6,34,0
Cherokee,0006 Columbus W2,Secretary of State,,DEM,Jean Kurtis Schodorf,73,7,11,55,0
Cherokee,0007 Columbus W3,Secretary of State,,DEM,Jean Kurtis Schodorf,76,8,16,51,1
Cherokee,0008 Columbus W4,Secretary of State,,DEM,Jean Kurtis Schodorf,54,5,13,36,0
Cherokee,0009 Columbus W5,Secretary of State,,DEM,Jean Kurtis Schodorf,79,6,20,53,0
Cherokee,0010 Galena W1,Secretary of State,,DEM,Jean Kurtis Schodorf,58,3,8,44,3
Cherokee,0011 Galena W2,Secretary of State,,DEM,Jean Kurtis Schodorf,47,0,6,41,0
Cherokee,0012 Galena W3,Secretary of State,,DEM,Jean Kurtis Schodorf,67,0,8,56,3
Cherokee,0013 Galena W4,Secretary of State,,DEM,Jean Kurtis Schodorf,33,0,5,28,0
Cherokee,0014 Scammon W1,Secretary of State,,DEM,Jean Kurtis Schodorf,24,2,0,22,0
Cherokee,0015 Scammon W2,Secretary of State,,DEM,Jean Kurtis Schodorf,20,0,3,17,0
Cherokee,0016 Scammon W3,Secretary of State,,DEM,Jean Kurtis Schodorf,30,3,4,23,0
Cherokee,0017 Weir W1,Secretary of State,,DEM,Jean Kurtis Schodorf,23,1,1,20,1
Cherokee,0018 Weir W2,Secretary of State,,DEM,Jean Kurtis Schodorf,58,0,1,55,2
Cherokee,0019 Weir W3,Secretary of State,,DEM,Jean Kurtis Schodorf,36,1,6,29,0
Cherokee,0001 Baxter Sprs W1,Secretary of State,,REP,Kris Kobach,133,2,10,118,3
Cherokee,0002 Baxter Sprs W2,Secretary of State,,REP,Kris Kobach,93,3,5,82,3
Cherokee,0003 Baxter Sprs W3,Secretary of State,,REP,Kris Kobach,270,8,10,246,6
Cherokee,0004 Baxter Sprs W4,Secretary of State,,REP,Kris Kobach,126,5,8,106,7
Cherokee,0005 Columbus W1,Secretary of State,,REP,Kris Kobach,85,7,8,69,1
Cherokee,0006 Columbus W2,Secretary of State,,REP,Kris Kobach,183,24,18,141,0
Cherokee,0007 Columbus W3,Secretary of State,,REP,Kris Kobach,159,11,10,137,1
Cherokee,0008 Columbus W4,Secretary of State,,REP,Kris Kobach,87,9,6,72,0
Cherokee,0009 Columbus W5,Secretary of State,,REP,Kris Kobach,99,6,14,78,1
Cherokee,0010 Galena W1,Secretary of State,,REP,Kris Kobach,97,3,5,82,7
Cherokee,0011 Galena W2,Secretary of State,,REP,Kris Kobach,81,3,8,67,3
Cherokee,0012 Galena W3,Secretary of State,,REP,Kris Kobach,147,1,13,132,1
Cherokee,0013 Galena W4,Secretary of State,,REP,Kris Kobach,57,0,6,51,0
Cherokee,0014 Scammon W1,Secretary of State,,REP,Kris Kobach,16,1,1,13,1
Cherokee,0015 Scammon W2,Secretary of State,,REP,Kris Kobach,26,3,4,19,0
Cherokee,0016 Scammon W3,Secretary of State,,REP,Kris Kobach,32,1,2,29,0
Cherokee,0017 Weir W1,Secretary of State,,REP,Kris Kobach,23,0,0,22,1
Cherokee,0018 Weir W2,Secretary of State,,REP,Kris Kobach,44,1,7,36,0
Cherokee,0019 Weir W3,Secretary of State,,REP,Kris Kobach,25,0,4,21,0
Cherokee,0001 Baxter Sprs W1,State House,1,DEM,Brian Caswell,102,2,8,89,3
Cherokee,0002 Baxter Sprs W2,State House,1,DEM,Brian Caswell,72,2,11,55,4
Cherokee,0003 Baxter Sprs W3,State House,1,DEM,Brian Caswell,203,6,13,179,5
Cherokee,0004 Baxter Sprs W4,State House,1,DEM,Brian Caswell,98,5,10,77,6
Cherokee,0005 Columbus W1,State House,1,DEM,Brian Caswell,38,3,7,28,0
Cherokee,0006 Columbus W2,State House,1,DEM,Brian Caswell,103,10,11,82,0
Cherokee,0007 Columbus W3,State House,1,DEM,Brian Caswell,85,7,16,60,2
Cherokee,0008 Columbus W4,State House,1,DEM,Brian Caswell,58,6,12,40,0
Cherokee,0009 Columbus W5,State House,1,DEM,Brian Caswell,76,5,19,52,0
Cherokee,0010 Galena W1,State House,1,DEM,Brian Caswell,68,4,12,49,3
Cherokee,0011 Galena W2,State House,1,DEM,Brian Caswell,59,2,8,49,0
Cherokee,0012 Galena W3,State House,1,DEM,Brian Caswell,82,0,9,70,3
Cherokee,0013 Galena W4,State House,1,DEM,Brian Caswell,38,0,4,34,0
Cherokee,0014 Scammon W1,State House,1,DEM,Brian Caswell,26,1,1,24,0
Cherokee,0015 Scammon W2,State House,1,DEM,Brian Caswell,24,0,2,22,0
Cherokee,0016 Scammon W3,State House,1,DEM,Brian Caswell,29,3,3,23,0
Cherokee,0017 Weir W1,State House,1,DEM,Brian Caswell,23,1,1,20,1
Cherokee,0018 Weir W2,State House,1,DEM,Brian Caswell,60,0,3,55,2
Cherokee,0019 Weir W3,State House,1,DEM,Brian Caswell,29,1,5,23,0
Cherokee,0001 Baxter Sprs W1,State House,1,REP,Michael Houser,91,1,10,77,3
Cherokee,0002 Baxter Sprs W2,State House,1,REP,Michael Houser,69,3,1,62,3
Cherokee,0003 Baxter Sprs W3,State House,1,REP,Michael Houser,202,9,8,181,4
Cherokee,0004 Baxter Sprs W4,State House,1,REP,Michael Houser,101,6,6,85,4
Cherokee,0005 Columbus W1,State House,1,REP,Michael Houser,98,11,8,78,1
Cherokee,0006 Columbus W2,State House,1,REP,Michael Houser,155,21,18,116,0
Cherokee,0007 Columbus W3,State House,1,REP,Michael Houser,152,13,10,129,0
Cherokee,0008 Columbus W4,State House,1,REP,Michael Houser,83,8,6,69,0
Cherokee,0009 Columbus W5,State House,1,REP,Michael Houser,107,9,17,80,1
Cherokee,0010 Galena W1,State House,1,REP,Michael Houser,88,2,1,78,7
Cherokee,0011 Galena W2,State House,1,REP,Michael Houser,71,1,7,60,3
Cherokee,0012 Galena W3,State House,1,REP,Michael Houser,138,1,13,122,2
Cherokee,0013 Galena W4,State House,1,REP,Michael Houser,53,0,7,46,0
Cherokee,0014 Scammon W1,State House,1,REP,Michael Houser,14,2,0,11,1
Cherokee,0015 Scammon W2,State House,1,REP,Michael Houser,22,3,4,15,0
Cherokee,0016 Scammon W3,State House,1,REP,Michael Houser,34,1,3,30,0
Cherokee,0017 Weir W1,State House,1,REP,Michael Houser,23,0,0,22,1
Cherokee,0018 Weir W2,State House,1,REP,Michael Houser,41,1,5,35,0
Cherokee,0019 Weir W3,State House,1,REP,Michael Houser,30,0,5,25,0
Cherokee,0001 Baxter Sprs W1,State House,1,,Write-ins,0,0,0,0,0
Cherokee,0002 Baxter Sprs W2,State House,1,,Write-ins,0,0,0,0,0
Cherokee,0003 Baxter Sprs W3,State House,1,,Write-ins,0,0,0,0,0
Cherokee,0004 Baxter Sprs W4,State House,1,,Write-ins,1,0,0,1,0
Cherokee,0005 Columbus W1,State House,1,,Write-ins,0,0,0,0,0
Cherokee,0006 Columbus W2,State House,1,,Write-ins,2,0,0,2,0
Cherokee,0007 Columbus W3,State House,1,,Write-ins,1,0,0,1,0
Cherokee,0008 Columbus W4,State House,1,,Write-ins,1,0,0,1,0
Cherokee,0009 Columbus W5,State House,1,,Write-ins,0,0,0,0,0
Cherokee,0010 Galena W1,State House,1,,Write-ins,0,0,0,0,0
Cherokee,0011 Galena W2,State House,1,,Write-ins,0,0,0,0,0
Cherokee,0012 Galena W3,State House,1,,Write-ins,0,0,0,0,0
Cherokee,0013 Galena W4,State House,1,,Write-ins,0,0,0,0,0
Cherokee,0014 Scammon W1,State House,1,,Write-ins,0,0,0,0,0
Cherokee,0015 Scammon W2,State House,1,,Write-ins,1,0,1,0,0
Cherokee,0016 Scammon W3,State House,1,,Write-ins,0,0,0,0,0
Cherokee,0017 Weir W1,State House,1,,Write-ins,0,0,0,0,0
Cherokee,0018 Weir W2,State House,1,,Write-ins,0,0,0,0,0
Cherokee,0019 Weir W3,State House,1,,Write-ins,0,0,0,0,0
Cherokee,0001 Baxter Sprs W1,State Treasurer,,DEM,Carmen Alldritt,58,1,10,44,3
Cherokee,0002 Baxter Sprs W2,State Treasurer,,DEM,Carmen Alldritt,43,2,5,33,3
Cherokee,0003 Baxter Sprs W3,State Treasurer,,DEM,Carmen Alldritt,117,7,12,95,3
Cherokee,0004 Baxter Sprs W4,State Treasurer,,DEM,Carmen Alldritt,52,5,6,38,3
Cherokee,0005 Columbus W1,State Treasurer,,DEM,Carmen Alldritt,47,8,7,31,1
Cherokee,0006 Columbus W2,State Treasurer,,DEM,Carmen Alldritt,68,7,10,51,0
Cherokee,0007 Columbus W3,State Treasurer,,DEM,Carmen Alldritt,64,7,11,45,1
Cherokee,0008 Columbus W4,State Treasurer,,DEM,Carmen Alldritt,45,4,11,30,0
Cherokee,0009 Columbus W5,State Treasurer,,DEM,Carmen Alldritt,73,7,20,46,0
Cherokee,0010 Galena W1,State Treasurer,,DEM,Carmen Alldritt,57,4,9,41,3
Cherokee,0011 Galena W2,State Treasurer,,DEM,Carmen Alldritt,43,0,6,37,0
