County,Precinct,Race,District,Party,Candidate ,Votes
Cloud,Buffalo,State Treasurer,,Dem,Carmen Alldritt,3
Cloud,Center,State Treasurer,,Dem,Carmen Alldritt,10
Cloud,Colfax,State Treasurer,,Dem,Carmen Alldritt,1
Cloud,Elk,State Treasurer,,Dem,Carmen Alldritt,55
Cloud,Grant,State Treasurer,,Dem,Carmen Alldritt,13
Cloud,N. Lawrence,State Treasurer,,Dem,Carmen Alldritt,2
Cloud,S. Lawrence,State Treasurer,,Dem,Carmen Alldritt,4
Cloud,E. Lincoln,State Treasurer,,Dem,Carmen Alldritt,20
Cloud,W. Lincoln,State Treasurer,,Dem,Carmen Alldritt,20
Cloud,Lyon,State Treasurer,,Dem,Carmen Alldritt,7
Cloud,E. Meredith,State Treasurer,,Dem,Carmen Alldritt,1
Cloud,W. Meredith,State Treasurer,,Dem,Carmen Alldritt,4
Cloud,Nelson,State Treasurer,,Dem,Carmen Alldritt,6
Cloud,Oakland,State Treasurer,,Dem,Carmen Alldritt,0
Cloud,Shirley,State Treasurer,,Dem,Carmen Alldritt,6
Cloud,Sibley,State Treasurer,,Dem,Carmen Alldritt,20
Cloud,Solomon,State Treasurer,,Dem,Carmen Alldritt,33
Cloud,Starr,State Treasurer,,Dem,Carmen Alldritt,34
Cloud,Summitt,State Treasurer,,Dem,Carmen Alldritt,1
Cloud,1st Ward,State Treasurer,,Dem,Carmen Alldritt,57
Cloud,1st Pct 2nd Ward,State Treasurer,,Dem,Carmen Alldritt,63
Cloud,2nd Pct 2nd Ward,State Treasurer,,Dem,Carmen Alldritt,68
Cloud,3rd Ward,State Treasurer,,Dem,Carmen Alldritt,78
Cloud,4th Ward,State Treasurer,,Dem,Carmen Alldritt,44
Cloud,Arion,State Treasurer,,Rep,Ron Estes,22
Cloud,Aurora,State Treasurer,,Rep,Ron Estes,35
Cloud,Buffalo,State Treasurer,,Rep,Ron Estes,34
Cloud,Center,State Treasurer,,Rep,Ron Estes,55
Cloud,Colfax,State Treasurer,,Rep,Ron Estes,15
Cloud,Elk,State Treasurer,,Rep,Ron Estes,184
Cloud,Grant,State Treasurer,,Rep,Ron Estes,87
Cloud,N. Lawrence,State Treasurer,,Rep,Ron Estes,17
Cloud,S. Lawrence,State Treasurer,,Rep,Ron Estes,13
Cloud,E. Lincoln,State Treasurer,,Rep,Ron Estes,64
Cloud,W. Lincoln,State Treasurer,,Rep,Ron Estes,36
Cloud,Lyon,State Treasurer,,Rep,Ron Estes,28
Cloud,E. Meredith,State Treasurer,,Rep,Ron Estes,14
Cloud,W. Meredith,State Treasurer,,Rep,Ron Estes,8
Cloud,Nelson,State Treasurer,,Rep,Ron Estes,34
Cloud,Oakland,State Treasurer,,Rep,Ron Estes,20
Cloud,Shirley,State Treasurer,,Rep,Ron Estes,43
Cloud,Sibley,State Treasurer,,Rep,Ron Estes,50
Cloud,Solomon,State Treasurer,,Rep,Ron Estes,132
Cloud,Starr,State Treasurer,,Rep,Ron Estes,148
Cloud,Summitt,State Treasurer,,Rep,Ron Estes,25
Cloud,1st Ward,State Treasurer,,Rep,Ron Estes,137
Cloud,1st Pct 2nd Ward,State Treasurer,,Rep,Ron Estes,156
Cloud,2nd Pct 2nd Ward,State Treasurer,,Rep,Ron Estes,225
Cloud,3rd Ward,State Treasurer,,Rep,Ron Estes,262
Cloud,4th Ward,State Treasurer,,Rep,Ron Estes,120
Cloud,Arion,U.S. House,1,Dem,James E Sherow,7
Cloud,Aurora,U.S. House,1,Dem,James E Sherow,13
Cloud,Buffalo,U.S. House,1,Dem,James E Sherow,9
Cloud,Center,U.S. House,1,Dem,James E Sherow,17
Cloud,Colfax,U.S. House,1,Dem,James E Sherow,0
Cloud,Elk,U.S. House,1,Dem,James E Sherow,102
Cloud,Grant,U.S. House,1,Dem,James E Sherow,25
Cloud,N. Lawrence,U.S. House,1,Dem,James E Sherow,5
Cloud,S. Lawrence,U.S. House,1,Dem,James E Sherow,5
Cloud,E. Lincoln,U.S. House,1,Dem,James E Sherow,24
Cloud,W. Lincoln,U.S. House,1,Dem,James E Sherow,21
Cloud,Lyon,U.S. House,1,Dem,James E Sherow,12
Cloud,E. Meredith,U.S. House,1,Dem,James E Sherow,5
Cloud,W. Meredith,U.S. House,1,Dem,James E Sherow,4
Cloud,Nelson,U.S. House,1,Dem,James E Sherow,6
Cloud,Oakland,U.S. House,1,Dem,James E Sherow,3
Cloud,Shirley,U.S. House,1,Dem,James E Sherow,18
Cloud,Sibley,U.S. House,1,Dem,James E Sherow,27
Cloud,Solomon,U.S. House,1,Dem,James E Sherow,45
Cloud,Starr,U.S. House,1,Dem,James E Sherow,37
Cloud,Summitt,U.S. House,1,Dem,James E Sherow,1
Cloud,1st Ward,U.S. House,1,Dem,James E Sherow,88
Cloud,1st Pct 2nd Ward,U.S. House,1,Dem,James E Sherow,99
Cloud,2nd Pct 2nd Ward,U.S. House,1,Dem,James E Sherow,102
Cloud,3rd Ward,U.S. House,1,Dem,James E Sherow,121
Cloud,4th Ward,U.S. House,1,Dem,James E Sherow,59
Cloud,Arion,U.S. House,1,Rep,Tim Huelskamp,23
Cloud,Aurora,U.S. House,1,Rep,Tim Huelskamp,29
Cloud,Buffalo,U.S. House,1,Rep,Tim Huelskamp,34
Cloud,Center,U.S. House,1,Rep,Tim Huelskamp,51
Cloud,Colfax,U.S. House,1,Rep,Tim Huelskamp,14
Cloud,Elk,U.S. House,1,Rep,Tim Huelskamp,147
Cloud,Grant,U.S. House,1,Rep,Tim Huelskamp,77
Cloud,N. Lawrence,U.S. House,1,Rep,Tim Huelskamp,16
Cloud,S. Lawrence,U.S. House,1,Rep,Tim Huelskamp,13
Cloud,E. Lincoln,U.S. House,1,Rep,Tim Huelskamp,58
Cloud,W. Lincoln,U.S. House,1,Rep,Tim Huelskamp,35
Cloud,Lyon,U.S. House,1,Rep,Tim Huelskamp,25
Cloud,E. Meredith,U.S. House,1,Rep,Tim Huelskamp,10
Cloud,W. Meredith,U.S. House,1,Rep,Tim Huelskamp,8
Cloud,Nelson,U.S. House,1,Rep,Tim Huelskamp,36
Cloud,Oakland,U.S. House,1,Rep,Tim Huelskamp,17
Cloud,Shirley,U.S. House,1,Rep,Tim Huelskamp,33
Cloud,Sibley,U.S. House,1,Rep,Tim Huelskamp,40
Cloud,Solomon,U.S. House,1,Rep,Tim Huelskamp,119
Cloud,Starr,U.S. House,1,Rep,Tim Huelskamp,148
Cloud,Summitt,U.S. House,1,Rep,Tim Huelskamp,25
Cloud,1st Ward,U.S. House,1,Rep,Tim Huelskamp,109
Cloud,1st Pct 2nd Ward,U.S. House,1,Rep,Tim Huelskamp,117
Cloud,2nd Pct 2nd Ward,U.S. House,1,Rep,Tim Huelskamp,196
Cloud,3rd Ward,U.S. House,1,Rep,Tim Huelskamp,221
Cloud,4th Ward,U.S. House,1,Rep,Tim Huelskamp,104
CLOUD,Arion Township,U.S. Senate,,Rep,Pat Roberts,27
CLOUD,Aurora Township,U.S. Senate,,Rep,Pat Roberts,36
CLOUD,Buffalo Township,U.S. Senate,,Rep,Pat Roberts,47
CLOUD,Center Township,U.S. Senate,,Rep,Pat Roberts,74
CLOUD,Colfax Township,U.S. Senate,,Rep,Pat Roberts,17
CLOUD,Concordia Ward 1,U.S. Senate,,Rep,Pat Roberts,155
CLOUD,Concordia Ward 2 Precinct 1,U.S. Senate,,Rep,Pat Roberts,165
CLOUD,Concordia Ward 2 Precinct 2,U.S. Senate,,Rep,Pat Roberts,244
CLOUD,Concordia Ward 3,U.S. Senate,,Rep,Pat Roberts,275
CLOUD,Concordia Ward 4,U.S. Senate,,Rep,Pat Roberts,127
CLOUD,East Lincoln,U.S. Senate,,Rep,Pat Roberts,68
CLOUD,East Meredith,U.S. Senate,,Rep,Pat Roberts,11
CLOUD,Elk Township,U.S. Senate,,Rep,Pat Roberts,198
CLOUD,Grant Township,U.S. Senate,,Rep,Pat Roberts,86
CLOUD,Lyon Township,U.S. Senate,,Rep,Pat Roberts,35
CLOUD,Nelson Township,U.S. Senate,,Rep,Pat Roberts,42
CLOUD,North Lawrence,U.S. Senate,,Rep,Pat Roberts,26
CLOUD,Oakland Township,U.S. Senate,,Rep,Pat Roberts,22
CLOUD,Shirley Township,U.S. Senate,,Rep,Pat Roberts,50
CLOUD,Sibley Township,U.S. Senate,,Rep,Pat Roberts,52
CLOUD,Solomon Township,U.S. Senate,,Rep,Pat Roberts,123
CLOUD,South Lawrence,U.S. Senate,,Rep,Pat Roberts,14
CLOUD,Starr Township,U.S. Senate,,Rep,Pat Roberts,154
CLOUD,Summit Township,U.S. Senate,,Rep,Pat Roberts,23
CLOUD,West Lincoln,U.S. Senate,,Rep,Pat Roberts,44
CLOUD,West Meredith,U.S. Senate,,Rep,Pat Roberts,8
CLOUD,Arion Township,U.S. Senate,,Ind,Greg Orman,13
CLOUD,Aurora Township,U.S. Senate,,Ind,Greg Orman,10
CLOUD,Buffalo Township,U.S. Senate,,Ind,Greg Orman,5
CLOUD,Center Township,U.S. Senate,,Ind,Greg Orman,12
CLOUD,Colfax Township,U.S. Senate,,Ind,Greg Orman,0
CLOUD,Concordia Ward 1,U.S. Senate,,Ind,Greg Orman,91
CLOUD,Concordia Ward 2 Precinct 1,U.S. Senate,,Ind,Greg Orman,123
CLOUD,Concordia Ward 2 Precinct 2,U.S. Senate,,Ind,Greg Orman,120
CLOUD,Concordia Ward 3,U.S. Senate,,Ind,Greg Orman,133
CLOUD,Concordia Ward 4,U.S. Senate,,Ind,Greg Orman,59
CLOUD,East Lincoln,U.S. Senate,,Ind,Greg Orman,25
CLOUD,East Meredith,U.S. Senate,,Ind,Greg Orman,7
CLOUD,Elk Township,U.S. Senate,,Ind,Greg Orman,107
CLOUD,Grant Township,U.S. Senate,,Ind,Greg Orman,18
CLOUD,Lyon Township,U.S. Senate,,Ind,Greg Orman,8
CLOUD,Nelson Township,U.S. Senate,,Ind,Greg Orman,8
CLOUD,North Lawrence,U.S. Senate,,Ind,Greg Orman,6
CLOUD,Oakland Township,U.S. Senate,,Ind,Greg Orman,0
CLOUD,Shirley Township,U.S. Senate,,Ind,Greg Orman,13
