,,,Dist,Party,,Vote
Sheridan,Valley,Governor,,L,Keen Umbehr,1
SHERIDAN KS,SHERIDAN KS,Governor,,L,Keen Umbehr,32
Sheridan,Adell,Secretary of State,,D,Jean Schodorf,3
Sheridan,Bloomfield,Secretary of State,,D,Jean Schodorf,3
Sheridan,Bowcreek,Secretary of State,,D,Jean Schodorf,2
Sheridan,Kenneth - East,Secretary of State,,D,Jean Schodorf,62
Sheridan,Kenneth - West,Secretary of State,,D,Jean Schodorf,52
Sheridan,Logan,Secretary of State,,D,Jean Schodorf,3
Sheridan,Parnell,Secretary of State,,D,Jean Schodorf,6
Sheridan,Prairie Dog,Secretary of State,,D,Jean Schodorf,3
Sheridan,"Saline, East",Secretary of State,,D,Jean Schodorf,2
Sheridan,"Saline, West",Secretary of State,,D,Jean Schodorf,5
Sheridan,Sheridan,Secretary of State,,D,Jean Schodorf,25
Sheridan,Solomon,Secretary of State,,D,Jean Schodorf,13
Sheridan,Springbrook,Secretary of State,,D,Jean Schodorf,5
Sheridan,Union,Secretary of State,,D,Jean Schodorf,2
Sheridan,Valley,Secretary of State,,D,Jean Schodorf,10
SHERIDAN KS,SHERIDAN KS,Secretary of State,,D,Jean Schodorf,196
Sheridan,Adell,Secretary of State,,R,Kris Kobach,8
Sheridan,Bloomfield,Secretary of State,,R,Kris Kobach,17
Sheridan,Bowcreek,Secretary of State,,R,Kris Kobach,20
Sheridan,Kenneth - East,Secretary of State,,R,Kris Kobach,232
Sheridan,Kenneth - West,Secretary of State,,R,Kris Kobach,200
Sheridan,Logan,Secretary of State,,R,Kris Kobach,31
Sheridan,Parnell,Secretary of State,,R,Kris Kobach,38
Sheridan,Prairie Dog,Secretary of State,,R,Kris Kobach,15
Sheridan,"Saline, East",Secretary of State,,R,Kris Kobach,26
Sheridan,"Saline, West",Secretary of State,,R,Kris Kobach,19
Sheridan,Sheridan,Secretary of State,,R,Kris Kobach,75
Sheridan,Solomon,Secretary of State,,R,Kris Kobach,66
Sheridan,Springbrook,Secretary of State,,R,Kris Kobach,33
Sheridan,Union,Secretary of State,,R,Kris Kobach,15
Sheridan,Valley,Secretary of State,,R,Kris Kobach,34
SHERIDAN KS,SHERIDAN KS,Secretary of State,,R,Kris Kobach,829
Sheridan,Adell,Attorney General,,D,A J Kotich,2
Sheridan,Bloomfield,Attorney General,,D,A J Kotich,4
Sheridan,Bowcreek,Attorney General,,D,A J Kotich,1
Sheridan,Kenneth - East,Attorney General,,D,A J Kotich,38
Sheridan,Kenneth - West,Attorney General,,D,A J Kotich,37
Sheridan,Logan,Attorney General,,D,A J Kotich,4
Sheridan,Parnell,Attorney General,,D,A J Kotich,4
Sheridan,Prairie Dog,Attorney General,,D,A J Kotich,5
Sheridan,"Saline, East",Attorney General,,D,A J Kotich,1
Sheridan,"Saline, West",Attorney General,,D,A J Kotich,5
Sheridan,Sheridan,Attorney General,,D,A J Kotich,14
Sheridan,Solomon,Attorney General,,D,A J Kotich,11
Sheridan,Springbrook,Attorney General,,D,A J Kotich,2
Sheridan,Union,Attorney General,,D,A J Kotich,0
Sheridan,Valley,Attorney General,,D,A J Kotich,7
SHERIDAN KS,SHERIDAN KS,Attorney General,,D,A J Kotich,135
Sheridan,Adell,Attorney General,,R,Derek Schmidt,7
Sheridan,Bloomfield,Attorney General,,R,Derek Schmidt,16
Sheridan,Bowcreek,Attorney General,,R,Derek Schmidt,21
Sheridan,Kenneth - East,Attorney General,,R,Derek Schmidt,251
Sheridan,Kenneth - West,Attorney General,,R,Derek Schmidt,209
Sheridan,Logan,Attorney General,,R,Derek Schmidt,30
Sheridan,Parnell,Attorney General,,R,Derek Schmidt,41
Sheridan,Prairie Dog,Attorney General,,R,Derek Schmidt,14
Sheridan,"Saline, East",Attorney General,,R,Derek Schmidt,26
Sheridan,"Saline, West",Attorney General,,R,Derek Schmidt,19
Sheridan,Sheridan,Attorney General,,R,Derek Schmidt,82
Sheridan,Solomon,Attorney General,,R,Derek Schmidt,69
Sheridan,Springbrook,Attorney General,,R,Derek Schmidt,35
Sheridan,Union,Attorney General,,R,Derek Schmidt,17
Sheridan,Valley,Attorney General,,R,Derek Schmidt,37
SHERIDAN KS,SHERIDAN KS,Attorney General,,R,Derek Schmidt,874
Sheridan,Adell,State Treasurer,,D,Carmen Alldritt,2
Sheridan,Bloomfield,State Treasurer,,D,Carmen Alldritt,3
Sheridan,Bowcreek,State Treasurer,,D,Carmen Alldritt,2
Sheridan,Kenneth - East,State Treasurer,,D,Carmen Alldritt,38
Sheridan,Kenneth - West,State Treasurer,,D,Carmen Alldritt,34
Sheridan,Logan,State Treasurer,,D,Carmen Alldritt,4
Sheridan,Parnell,State Treasurer,,D,Carmen Alldritt,3
Sheridan,Prairie Dog,State Treasurer,,D,Carmen Alldritt,3
Sheridan,"Saline, East",State Treasurer,,D,Carmen Alldritt,2
Sheridan,"Saline, West",State Treasurer,,D,Carmen Alldritt,3
Sheridan,Sheridan,State Treasurer,,D,Carmen Alldritt,22
Sheridan,Solomon,State Treasurer,,D,Carmen Alldritt,8
Sheridan,Springbrook,State Treasurer,,D,Carmen Alldritt,2
Sheridan,Union,State Treasurer,,D,Carmen Alldritt,2
Sheridan,Valley,State Treasurer,,D,Carmen Alldritt,5
SHERIDAN KS,SHERIDAN KS,State Treasurer,,D,Carmen Alldritt,133
Sheridan,Adell,State Treasurer,,R,Ron Estes,7
Sheridan,Bloomfield,State Treasurer,,R,Ron Estes,17
Sheridan,Bowcreek,State Treasurer,,R,Ron Estes,19
Sheridan,Kenneth - East,State Treasurer,,R,Ron Estes,254
Sheridan,Kenneth - West,State Treasurer,,R,Ron Estes,211
Sheridan,Logan,State Treasurer,,R,Ron Estes,30
Sheridan,Parnell,State Treasurer,,R,Ron Estes,40
Sheridan,Prairie Dog,State Treasurer,,R,Ron Estes,15
Sheridan,"Saline, East",State Treasurer,,R,Ron Estes,27
Sheridan,"Saline, West",State Treasurer,,R,Ron Estes,20
Sheridan,Sheridan,State Treasurer,,R,Ron Estes,73
Sheridan,Solomon,State Treasurer,,R,Ron Estes,71
Sheridan,Springbrook,State Treasurer,,R,Ron Estes,35
Sheridan,Union,State Treasurer,,R,Ron Estes,15
Sheridan,Valley,State Treasurer,,R,Ron Estes,39
SHERIDAN KS,SHERIDAN KS,State Treasurer,,R,Ron Estes,873
Sheridan,Adell,Insurance Commissioner,,D,Dennis Anderson,2
Sheridan,Bloomfield,Insurance Commissioner,,D,Dennis Anderson,2
Sheridan,Bowcreek,Insurance Commissioner,,D,Dennis Anderson,1
Sheridan,Kenneth - East,Insurance Commissioner,,D,Dennis Anderson,45
Sheridan,Kenneth - West,Insurance Commissioner,,D,Dennis Anderson,53
Sheridan,Logan,Insurance Commissioner,,D,Dennis Anderson,4
Sheridan,Parnell,Insurance Commissioner,,D,Dennis Anderson,4
Sheridan,Prairie Dog,Insurance Commissioner,,D,Dennis Anderson,2
Sheridan,"Saline, East",Insurance Commissioner,,D,Dennis Anderson,1
Sheridan,"Saline, West",Insurance Commissioner,,D,Dennis Anderson,4
Sheridan,Sheridan,Insurance Commissioner,,D,Dennis Anderson,22
Sheridan,Solomon,Insurance Commissioner,,D,Dennis Anderson,10
Sheridan,Springbrook,Insurance Commissioner,,D,Dennis Anderson,1
Sheridan,Union,Insurance Commissioner,,D,Dennis Anderson,3
Sheridan,Valley,Insurance Commissioner,,D,Dennis Anderson,7
SHERIDAN KS,SHERIDAN KS,Insurance Commissioner,,D,Dennis Anderson,161
Sheridan,Adell,Insurance Commissioner,,R,Ken Selzer,7
Sheridan,Bloomfield,Insurance Commissioner,,R,Ken Selzer,18
Sheridan,Bowcreek,Insurance Commissioner,,R,Ken Selzer,21
Sheridan,Kenneth - East,Insurance Commissioner,,R,Ken Selzer,240
Sheridan,Kenneth - West,Insurance Commissioner,,R,Ken Selzer,188
Sheridan,Logan,Insurance Commissioner,,R,Ken Selzer,30
Sheridan,Parnell,Insurance Commissioner,,R,Ken Selzer,40
Sheridan,Prairie Dog,Insurance Commissioner,,R,Ken Selzer,16
Sheridan,"Saline, East",Insurance Commissioner,,R,Ken Selzer,27
Sheridan,"Saline, West",Insurance Commissioner,,R,Ken Selzer,19
Sheridan,Sheridan,Insurance Commissioner,,R,Ken Selzer,70
Sheridan,Solomon,Insurance Commissioner,,R,Ken Selzer,66
Sheridan,Springbrook,Insurance Commissioner,,R,Ken Selzer,36
Sheridan,Union,Insurance Commissioner,,R,Ken Selzer,13
Sheridan,Valley,Insurance Commissioner,,R,Ken Selzer,34
SHERIDAN KS,SHERIDAN KS,Insurance Commissioner,,R,Ken Selzer,825
Sheridan,Adell,State House,H118,R,Don Hineman,9
Sheridan,Bloomfield,State House,H118,R,Don Hineman,18
Sheridan,Bowcreek,State House,H118,R,Don Hineman,20
Sheridan,Kenneth - East,State House,H118,R,Don Hineman,264
Sheridan,Kenneth - West,State House,H118,R,Don Hineman,216
Sheridan,Logan,State House,H118,R,Don Hineman,32
Sheridan,Parnell,State House,H118,R,Don Hineman,44
Sheridan,Prairie Dog,State House,H118,R,Don Hineman,19
Sheridan,"Saline, East",State House,H118,R,Don Hineman,27
Sheridan,"Saline, West",State House,H118,R,Don Hineman,20
Sheridan,Sheridan,State House,H118,R,Don Hineman,82
Sheridan,Solomon,State House,H118,R,Don Hineman,78
Sheridan,Springbrook,State House,H118,R,Don Hineman,35
Sheridan,Union,State House,H118,R,Don Hineman,16
Sheridan,Valley,State House,H118,R,Don Hineman,40
SHERIDAN KS,SHERIDAN KS,State House,H118,R,Don Hineman,920
