,,,,,,Total,Adv,Poll,Prov
Sew-Liberal,W1P2,State House,H125,,writeins,2,1,1,0
Sew-Liberal,W1P3,State House,H125,,writeins,5,3,2,0
Sew-Liberal,W2,State House,H125,,writeins,3,2,1,0
Sew-Liberal,W3,State House,H125,,writeins,1,0,1,0
Sew-Liberal,W4,State House,H125,,writeins,6,5,1,0
Sew-Liberal,W6P1,State House,H125,,writeins,1,0,1,0
Sew-Liberal,W6P2,State House,H125,,writeins,6,6,0,0
Sew-Liberal,W1P1,State Treasurer,,D,Carmen Alldritt,46,36,8,2
Sew-Liberal,W1P2,State Treasurer,,D,Carmen Alldritt,64,43,19,2
Sew-Liberal,W1P3,State Treasurer,,D,Carmen Alldritt,82,58,23,1
Sew-Liberal,W2,State Treasurer,,D,Carmen Alldritt,62,38,21,3
Sew-Liberal,W3,State Treasurer,,D,Carmen Alldritt,47,34,11,2
Sew-Liberal,W4,State Treasurer,,D,Carmen Alldritt,49,34,12,3
Sew-Liberal,W5,State Treasurer,,D,Carmen Alldritt,37,20,16,1
Sew-Liberal,W6P1,State Treasurer,,D,Carmen Alldritt,102,63,36,3
Sew-Liberal,W6P2,State Treasurer,,D,Carmen Alldritt,50,29,17,4
Sew-Liberal,W1P1,State Treasurer,,R,Ron Estes,153,104,42,7
Sew-Liberal,W1P2,State Treasurer,,R,Ron Estes,206,134,72,0
Sew-Liberal,W1P3,State Treasurer,,R,Ron Estes,185,104,74,7
Sew-Liberal,W2,State Treasurer,,R,Ron Estes,251,182,62,7
Sew-Liberal,W3,State Treasurer,,R,Ron Estes,93,53,37,3
Sew-Liberal,W4,State Treasurer,,R,Ron Estes,165,114,48,3
Sew-Liberal,W5,State Treasurer,,R,Ron Estes,146,100,43,3
Sew-Liberal,W6P1,State Treasurer,,R,Ron Estes,592,395,188,9
Sew-Liberal,W6P2,State Treasurer,,R,Ron Estes,363,243,109,11
Sew-Liberal,W6P2,State Treasurer,,,writein,1,1,0,0
Sew-Liberal,W1P1,U.S. Senate,,L,Randall Batson,13,8,4,1
Sew-Liberal,W1P2,U.S. Senate,,L,Randall Batson,20,17,2,1
Sew-Liberal,W1P3,U.S. Senate,,L,Randall Batson,16,14,1,1
Sew-Liberal,W2,U.S. Senate,,L,Randall Batson,16,11,4,1
Sew-Liberal,W3,U.S. Senate,,L,Randall Batson,10,7,3,0
Sew-Liberal,W4,U.S. Senate,,L,Randall Batson,7,7,0,0
Sew-Liberal,W5,U.S. Senate,,L,Randall Batson,7,5,2,0
Sew-Liberal,W6P1,U.S. Senate,,L,Randall Batson,30,22,7,1
Sew-Liberal,W6P2,U.S. Senate,,L,Randall Batson,6,4,2,0
Sew-Liberal,W1P1,U.S. Senate,,I,Greg Orman,48,39,7,2
Sew-Liberal,W1P2,U.S. Senate,,I,Greg Orman,54,37,16,1
Sew-Liberal,W1P3,U.S. Senate,,I,Greg Orman,76,52,22,2
Sew-Liberal,W2,U.S. Senate,,I,Greg Orman,71,47,22,2
Sew-Liberal,W3,U.S. Senate,,I,Greg Orman,42,25,16,1
Sew-Liberal,W4,U.S. Senate,,I,Greg Orman,51,31,17,3
Sew-Liberal,W5,U.S. Senate,,I,Greg Orman,46,28,18,0
Sew-Liberal,W6P1,U.S. Senate,,I,Greg Orman,147,91,54,2
Sew-Liberal,W6P2,U.S. Senate,,I,Greg Orman,90,55,30,5
Sew-Liberal,W1P1,U.S. Senate,,R,Pat Roberts,144,96,42,6
Sew-Liberal,W1P2,U.S. Senate,,R,Pat Roberts,195,124,71,0
Sew-Liberal,W1P3,U.S. Senate,,R,Pat Roberts,170,91,74,5
Sew-Liberal,W2,U.S. Senate,,R,Pat Roberts,232,166,58,8
Sew-Liberal,W3,U.S. Senate,,R,Pat Roberts,92,54,35,3
Sew-Liberal,W4,U.S. Senate,,R,Pat Roberts,156,108,45,3
Sew-Liberal,W5,U.S. Senate,,R,Pat Roberts,134,92,40,2
Sew-Liberal,W6P1,U.S. Senate,,R,Pat Roberts,534,356,168,10
Sew-Liberal,W6P2,U.S. Senate,,R,Pat Roberts,326,218,98,10
Sew-Liberal,W1P3,U.S. Senate,,,writeins,1,1,0,0
Sew-Liberal,W4,U.S. Senate,,,writeins,1,1,0,0
Sew-Liberal,W5,U.S. Senate,,,writeins,1,0,0,1
Sew-Liberal,W6P1,U.S. Senate,,,writeins,1,0,1,0
Sew-Liberal,W6P2,U.S. Senate,,,writeins,1,1,0,0
