COUNTY,PRECINCT,,,,,VOTES
Montgomery,INDEPENDENCE W4P2,Congress 2,CD2,L,Christopher Clemmons,10
Montgomery,INDEPENDENCE W5P1,Congress 2,CD2,L,Christopher Clemmons,5
Montgomery,INDEPENDENCE W5P2,Congress 2,CD2,L,Christopher Clemmons,7
Montgomery,INDEPENDENCE W6P1 H11,Congress 2,CD2,L,Christopher Clemmons,2
Montgomery,INDEPENDENCE W6P1 H12,Congress 2,CD2,L,Christopher Clemmons,11
Montgomery,INDEPENDENCE W6P2 H11,Congress 2,CD2,L,Christopher Clemmons,2
Montgomery,INDEPENDENCE W6P2 H12,Congress 2,CD2,L,Christopher Clemmons,2
Montgomery,INDEPENDENCE W6P2 H11A,Congress 2,CD2,L,Christopher Clemmons,4
Montgomery,INDEPENDENCE W6P2 H12A,Congress 2,CD2,L,Christopher Clemmons,0
Montgomery,CANEY-HAVANA,Congress 2,CD2,L,Christopher Clemmons,5
Montgomery,CANEY-TYRO,Congress 2,CD2,L,Christopher Clemmons,5
Montgomery,CHEROKEE,Congress 2,CD2,L,Christopher Clemmons,6
Montgomery,CHERRY,Congress 2,CD2,L,Christopher Clemmons,10
Montgomery,DRUM CREEK ,Congress 2,CD2,L,Christopher Clemmons,3
Montgomery,FAWN CREEK-DEARING,Congress 2,CD2,L,Christopher Clemmons,19
Montgomery,FAWN CREEK-TYRO,Congress 2,CD2,L,Christopher Clemmons,4
Montgomery,INDEPENDENCE TWP 1 H11,Congress 2,CD2,L,Christopher Clemmons,21
Montgomery,INDEPENDENCE TWP 1 H12,Congress 2,CD2,L,Christopher Clemmons,6
Montgomery,INDEPENDENCE TWP 2 A H12,Congress 2,CD2,L,Christopher Clemmons,2
Montgomery,INDEPENDENCE TWP 2 C H11,Congress 2,CD2,L,Christopher Clemmons,2
Montgomery,LIBERTY,Congress 2,CD2,L,Christopher Clemmons,10
Montgomery,LOUISBURG,Congress 2,CD2,L,Christopher Clemmons,5
Montgomery,PARKER 1,Congress 2,CD2,L,Christopher Clemmons,4
Montgomery,PARKER 2,Congress 2,CD2,L,Christopher Clemmons,17
Montgomery,PARKER 2 EX H11,Congress 2,CD2,L,Christopher Clemmons,2
Montgomery,RUTLAND,Congress 2,CD2,L,Christopher Clemmons,1
Montgomery,SYCAMORE,Congress 2,CD2,L,Christopher Clemmons,11
Montgomery,WEST CHERRY,Congress 2,CD2,L,Christopher Clemmons,4
Montgomery,CANEY W1P1,Governor,,R,Sam Brownback,79
Montgomery,CANEY W1P2 H12,Governor,,R,Sam Brownback,3
Montgomery,CANEY W2P1,Governor,,R,Sam Brownback,63
Montgomery,CANEY W3P1,Governor,,R,Sam Brownback,94
Montgomery,CANEY W3P2,Governor,,R,Sam Brownback,2
Montgomery,CANEY W4P1,Governor,,R,Sam Brownback,104
Montgomery,CANEY W4P2,Governor,,R,Sam Brownback,1
Montgomery,CHERRYVALE 1,Governor,,R,Sam Brownback,175
Montgomery,CHERRYVALE 2,Governor,,R,Sam Brownback,136
Montgomery,COFFEYVILLE 1,Governor,,R,Sam Brownback,4
Montgomery,COFFEYVILLE 2,Governor,,R,Sam Brownback,42
Montgomery,COFFEYVILLE 3,Governor,,R,Sam Brownback,63
Montgomery,COFFEYVILLE 4,Governor,,R,Sam Brownback,91
Montgomery,COFFEYVILLE 5,Governor,,R,Sam Brownback,95
Montgomery,COFFEYVILLE 6,Governor,,R,Sam Brownback,28
Montgomery,COFFEYVILLE 7,Governor,,R,Sam Brownback,37
Montgomery,COFFEYVILLE 8,Governor,,R,Sam Brownback,48
Montgomery,COFFEYVILLE 9,Governor,,R,Sam Brownback,15
Montgomery,COFFEYVILLE 10,Governor,,R,Sam Brownback,54
Montgomery,COFFEYVILLE 11,Governor,,R,Sam Brownback,141
Montgomery,COFFEYVILLE 12,Governor,,R,Sam Brownback,217
Montgomery,COFFEYVILLE 13,Governor,,R,Sam Brownback,189
Montgomery,INDEPENDENCE W1P1,Governor,,R,Sam Brownback,55
Montgomery,INDEPENDENCE W1P2,Governor,,R,Sam Brownback,117
Montgomery,INDEPENDENCE W2P1,Governor,,R,Sam Brownback,40
Montgomery,INDEPENDENCE W2P2,Governor,,R,Sam Brownback,40
Montgomery,INDEPENDENCE W3P1,Governor,,R,Sam Brownback,102
Montgomery,INDEPENDENCE W3P2,Governor,,R,Sam Brownback,48
Montgomery,INDEPENDENCE W3P2 EX,Governor,,R,Sam Brownback,1
Montgomery,INDEPENDENCE W4P1,Governor,,R,Sam Brownback,96
Montgomery,INDEPENDENCE W4P2,Governor,,R,Sam Brownback,63
Montgomery,INDEPENDENCE W5P1,Governor,,R,Sam Brownback,64
Montgomery,INDEPENDENCE W5P2,Governor,,R,Sam Brownback,103
Montgomery,INDEPENDENCE W6P1 H11,Governor,,R,Sam Brownback,11
Montgomery,INDEPENDENCE W6P1 H12,Governor,,R,Sam Brownback,172
Montgomery,INDEPENDENCE W6P2 H11,Governor,,R,Sam Brownback,133
Montgomery,INDEPENDENCE W6P2 H12,Governor,,R,Sam Brownback,48
Montgomery,INDEPENDENCE W6P2 H11A,Governor,,R,Sam Brownback,58
Montgomery,INDEPENDENCE W6P2 H12A,Governor,,R,Sam Brownback,6
Montgomery,CANEY-HAVANA,Governor,,R,Sam Brownback,168
Montgomery,CANEY-TYRO,Governor,,R,Sam Brownback,197
Montgomery,CHEROKEE,Governor,,R,Sam Brownback,79
Montgomery,CHERRY,Governor,,R,Sam Brownback,125
Montgomery,DRUM CREEK ,Governor,,R,Sam Brownback,159
Montgomery,FAWN CREEK-DEARING,Governor,,R,Sam Brownback,373
Montgomery,FAWN CREEK-TYRO,Governor,,R,Sam Brownback,115
Montgomery,INDEPENDENCE TWP 1 H11,Governor,,R,Sam Brownback,373
Montgomery,INDEPENDENCE TWP 1 H12,Governor,,R,Sam Brownback,58
Montgomery,INDEPENDENCE TWP 2 A H12,Governor,,R,Sam Brownback,94
Montgomery,INDEPENDENCE TWP 2 C H11,Governor,,R,Sam Brownback,20
Montgomery,LIBERTY,Governor,,R,Sam Brownback,125
Montgomery,LOUISBURG,Governor,,R,Sam Brownback,122
Montgomery,PARKER 1,Governor,,R,Sam Brownback,58
Montgomery,PARKER 2,Governor,,R,Sam Brownback,171
Montgomery,PARKER 2 EX H11,Governor,,R,Sam Brownback,5
Montgomery,RUTLAND,Governor,,R,Sam Brownback,99
Montgomery,SYCAMORE,Governor,,R,Sam Brownback,240
Montgomery,WEST CHERRY,Governor,,R,Sam Brownback,76
Montgomery,CANEY W1P1,Governor,,D,Paul Davis,32
Montgomery,CANEY W1P2 H12,Governor,,D,Paul Davis,1
Montgomery,CANEY W2P1,Governor,,D,Paul Davis,28
Montgomery,CANEY W3P1,Governor,,D,Paul Davis,19
Montgomery,CANEY W3P2,Governor,,D,Paul Davis,0
Montgomery,CANEY W4P1,Governor,,D,Paul Davis,27
Montgomery,CANEY W4P2,Governor,,D,Paul Davis,0
Montgomery,CHERRYVALE 1,Governor,,D,Paul Davis,107
Montgomery,CHERRYVALE 2,Governor,,D,Paul Davis,89
Montgomery,COFFEYVILLE 1,Governor,,D,Paul Davis,23
Montgomery,COFFEYVILLE 2,Governor,,D,Paul Davis,37
Montgomery,COFFEYVILLE 3,Governor,,D,Paul Davis,54
Montgomery,COFFEYVILLE 4,Governor,,D,Paul Davis,53
Montgomery,COFFEYVILLE 5,Governor,,D,Paul Davis,85
Montgomery,COFFEYVILLE 6,Governor,,D,Paul Davis,27
Montgomery,COFFEYVILLE 7,Governor,,D,Paul Davis,35
Montgomery,COFFEYVILLE 8,Governor,,D,Paul Davis,50
Montgomery,COFFEYVILLE 9,Governor,,D,Paul Davis,16
Montgomery,COFFEYVILLE 10,Governor,,D,Paul Davis,42
Montgomery,COFFEYVILLE 11,Governor,,D,Paul Davis,112
Montgomery,COFFEYVILLE 12,Governor,,D,Paul Davis,141
Montgomery,COFFEYVILLE 13,Governor,,D,Paul Davis,124
Montgomery,INDEPENDENCE W1P1,Governor,,D,Paul Davis,52
Montgomery,INDEPENDENCE W1P2,Governor,,D,Paul Davis,66
Montgomery,INDEPENDENCE W2P1,Governor,,D,Paul Davis,39
Montgomery,INDEPENDENCE W2P2,Governor,,D,Paul Davis,24
Montgomery,INDEPENDENCE W3P1,Governor,,D,Paul Davis,49
Montgomery,INDEPENDENCE W3P2,Governor,,D,Paul Davis,32
Montgomery,INDEPENDENCE W3P2 EX,Governor,,D,Paul Davis,0
Montgomery,INDEPENDENCE W4P1,Governor,,D,Paul Davis,68
Montgomery,INDEPENDENCE W4P2,Governor,,D,Paul Davis,37
Montgomery,INDEPENDENCE W5P1,Governor,,D,Paul Davis,36
Montgomery,INDEPENDENCE W5P2,Governor,,D,Paul Davis,94
Montgomery,INDEPENDENCE W6P1 H11,Governor,,D,Paul Davis,9
Montgomery,INDEPENDENCE W6P1 H12,Governor,,D,Paul Davis,103
Montgomery,INDEPENDENCE W6P2 H11,Governor,,D,Paul Davis,88
Montgomery,INDEPENDENCE W6P2 H12,Governor,,D,Paul Davis,22
Montgomery,INDEPENDENCE W6P2 H11A,Governor,,D,Paul Davis,50
Montgomery,INDEPENDENCE W6P2 H12A,Governor,,D,Paul Davis,3
Montgomery,CANEY-HAVANA,Governor,,D,Paul Davis,38
Montgomery,CANEY-TYRO,Governor,,D,Paul Davis,39
Montgomery,CHEROKEE,Governor,,D,Paul Davis,41
Montgomery,CHERRY,Governor,,D,Paul Davis,49
Montgomery,DRUM CREEK ,Governor,,D,Paul Davis,44
Montgomery,FAWN CREEK-DEARING,Governor,,D,Paul Davis,140
Montgomery,FAWN CREEK-TYRO,Governor,,D,Paul Davis,24
Montgomery,INDEPENDENCE TWP 1 H11,Governor,,D,Paul Davis,141
Montgomery,INDEPENDENCE TWP 1 H12,Governor,,D,Paul Davis,24
Montgomery,INDEPENDENCE TWP 2 A H12,Governor,,D,Paul Davis,38
Montgomery,INDEPENDENCE TWP 2 C H11,Governor,,D,Paul Davis,19
Montgomery,LIBERTY,Governor,,D,Paul Davis,49
Montgomery,LOUISBURG,Governor,,D,Paul Davis,43
Montgomery,PARKER 1,Governor,,D,Paul Davis,32
Montgomery,PARKER 2,Governor,,D,Paul Davis,126
Montgomery,PARKER 2 EX H11,Governor,,D,Paul Davis,3
Montgomery,RUTLAND,Governor,,D,Paul Davis,24
Montgomery,SYCAMORE,Governor,,D,Paul Davis,77
Montgomery,WEST CHERRY,Governor,,D,Paul Davis,28
Montgomery,CANEY W1P1,Governor,,L,Keen Umbehr,3
Montgomery,CANEY W1P2 H12,Governor,,L,Keen Umbehr,0
Montgomery,CANEY W2P1,Governor,,L,Keen Umbehr,9
Montgomery,CANEY W3P1,Governor,,L,Keen Umbehr,7
Montgomery,CANEY W3P2,Governor,,L,Keen Umbehr,0
Montgomery,CANEY W4P1,Governor,,L,Keen Umbehr,8
Montgomery,CANEY W4P2,Governor,,L,Keen Umbehr,0
Montgomery,CHERRYVALE 1,Governor,,L,Keen Umbehr,19
Montgomery,CHERRYVALE 2,Governor,,L,Keen Umbehr,7
Montgomery,COFFEYVILLE 1,Governor,,L,Keen Umbehr,0
Montgomery,COFFEYVILLE 2,Governor,,L,Keen Umbehr,1
Montgomery,COFFEYVILLE 3,Governor,,L,Keen Umbehr,4
Montgomery,COFFEYVILLE 4,Governor,,L,Keen Umbehr,4
Montgomery,COFFEYVILLE 5,Governor,,L,Keen Umbehr,9
Montgomery,COFFEYVILLE 6,Governor,,L,Keen Umbehr,4
Montgomery,COFFEYVILLE 7,Governor,,L,Keen Umbehr,5
Montgomery,COFFEYVILLE 8,Governor,,L,Keen Umbehr,5
Montgomery,COFFEYVILLE 9,Governor,,L,Keen Umbehr,1
Montgomery,COFFEYVILLE 10,Governor,,L,Keen Umbehr,6
Montgomery,COFFEYVILLE 11,Governor,,L,Keen Umbehr,10
Montgomery,COFFEYVILLE 12,Governor,,L,Keen Umbehr,13
Montgomery,COFFEYVILLE 13,Governor,,L,Keen Umbehr,7
Montgomery,INDEPENDENCE W1P1,Governor,,L,Keen Umbehr,2
Montgomery,INDEPENDENCE W1P2,Governor,,L,Keen Umbehr,13
Montgomery,INDEPENDENCE W2P1,Governor,,L,Keen Umbehr,2
Montgomery,INDEPENDENCE W2P2,Governor,,L,Keen Umbehr,0
Montgomery,INDEPENDENCE W3P1,Governor,,L,Keen Umbehr,6
Montgomery,INDEPENDENCE W3P2,Governor,,L,Keen Umbehr,6
Montgomery,INDEPENDENCE W3P2 EX,Governor,,L,Keen Umbehr,0
Montgomery,INDEPENDENCE W4P1,Governor,,L,Keen Umbehr,7
Montgomery,INDEPENDENCE W4P2,Governor,,L,Keen Umbehr,10
Montgomery,INDEPENDENCE W5P1,Governor,,L,Keen Umbehr,5
Montgomery,INDEPENDENCE W5P2,Governor,,L,Keen Umbehr,11
Montgomery,INDEPENDENCE W6P1 H11,Governor,,L,Keen Umbehr,1
Montgomery,INDEPENDENCE W6P1 H12,Governor,,L,Keen Umbehr,9
Montgomery,INDEPENDENCE W6P2 H11,Governor,,L,Keen Umbehr,10
Montgomery,INDEPENDENCE W6P2 H12,Governor,,L,Keen Umbehr,3
Montgomery,INDEPENDENCE W6P2 H11A,Governor,,L,Keen Umbehr,3
Montgomery,INDEPENDENCE W6P2 H12A,Governor,,L,Keen Umbehr,0
Montgomery,CANEY-HAVANA,Governor,,L,Keen Umbehr,7
Montgomery,CANEY-TYRO,Governor,,L,Keen Umbehr,8
Montgomery,CHEROKEE,Governor,,L,Keen Umbehr,8
Montgomery,CHERRY,Governor,,L,Keen Umbehr,13
Montgomery,DRUM CREEK ,Governor,,L,Keen Umbehr,6
Montgomery,FAWN CREEK-DEARING,Governor,,L,Keen Umbehr,22
Montgomery,FAWN CREEK-TYRO,Governor,,L,Keen Umbehr,7
Montgomery,INDEPENDENCE TWP 1 H11,Governor,,L,Keen Umbehr,19
Montgomery,INDEPENDENCE TWP 1 H12,Governor,,L,Keen Umbehr,10
Montgomery,INDEPENDENCE TWP 2 A H12,Governor,,L,Keen Umbehr,2
Montgomery,INDEPENDENCE TWP 2 C H11,Governor,,L,Keen Umbehr,1
Montgomery,LIBERTY,Governor,,L,Keen Umbehr,12
Montgomery,LOUISBURG,Governor,,L,Keen Umbehr,4
Montgomery,PARKER 1,Governor,,L,Keen Umbehr,2
Montgomery,PARKER 2,Governor,,L,Keen Umbehr,17
Montgomery,PARKER 2 EX H11,Governor,,L,Keen Umbehr,2
Montgomery,RUTLAND,Governor,,L,Keen Umbehr,6
Montgomery,SYCAMORE,Governor,,L,Keen Umbehr,9
Montgomery,WEST CHERRY,Governor,,L,Keen Umbehr,0
Montgomery,CANEY W1P1,Secretary,,R,Kris Kobach,83
Montgomery,CANEY W1P2 H12,Secretary,,R,Kris Kobach,2
Montgomery,CANEY W2P1,Secretary,,R,Kris Kobach,74
Montgomery,CANEY W3P1,Secretary,,R,Kris Kobach,93
Montgomery,CANEY W3P2,Secretary,,R,Kris Kobach,2
Montgomery,CANEY W4P1,Secretary,,R,Kris Kobach,110
Montgomery,CANEY W4P2,Secretary,,R,Kris Kobach,1
Montgomery,CHERRYVALE 1,Secretary,,R,Kris Kobach,196
Montgomery,CHERRYVALE 2,Secretary,,R,Kris Kobach,154
Montgomery,COFFEYVILLE 1,Secretary,,R,Kris Kobach,4
Montgomery,COFFEYVILLE 2,Secretary,,R,Kris Kobach,44
Montgomery,COFFEYVILLE 3,Secretary,,R,Kris Kobach,58
Montgomery,COFFEYVILLE 4,Secretary,,R,Kris Kobach,96
Montgomery,COFFEYVILLE 5,Secretary,,R,Kris Kobach,111
Montgomery,COFFEYVILLE 6,Secretary,,R,Kris Kobach,32
Montgomery,COFFEYVILLE 7,Secretary,,R,Kris Kobach,46
Montgomery,COFFEYVILLE 8,Secretary,,R,Kris Kobach,56
Montgomery,COFFEYVILLE 9,Secretary,,R,Kris Kobach,15
Montgomery,COFFEYVILLE 10,Secretary,,R,Kris Kobach,62
Montgomery,COFFEYVILLE 11,Secretary,,R,Kris Kobach,159
Montgomery,COFFEYVILLE 12,Secretary,,R,Kris Kobach,246
Montgomery,COFFEYVILLE 13,Secretary,,R,Kris Kobach,206
Montgomery,INDEPENDENCE W1P1,Secretary,,R,Kris Kobach,54
Montgomery,INDEPENDENCE W1P2,Secretary,,R,Kris Kobach,127
Montgomery,INDEPENDENCE W2P1,Secretary,,R,Kris Kobach,55
Montgomery,INDEPENDENCE W2P2,Secretary,,R,Kris Kobach,38
Montgomery,INDEPENDENCE W3P1,Secretary,,R,Kris Kobach,103
Montgomery,INDEPENDENCE W3P2,Secretary,,R,Kris Kobach,53
Montgomery,INDEPENDENCE W3P2 EX,Secretary,,R,Kris Kobach,1
Montgomery,INDEPENDENCE W4P1,Secretary,,R,Kris Kobach,107
Montgomery,INDEPENDENCE W4P2,Secretary,,R,Kris Kobach,69
Montgomery,INDEPENDENCE W5P1,Secretary,,R,Kris Kobach,68
Montgomery,INDEPENDENCE W5P2,Secretary,,R,Kris Kobach,123
Montgomery,INDEPENDENCE W6P1 H11,Secretary,,R,Kris Kobach,13
Montgomery,INDEPENDENCE W6P1 H12,Secretary,,R,Kris Kobach,177
Montgomery,INDEPENDENCE W6P2 H11,Secretary,,R,Kris Kobach,161
Montgomery,INDEPENDENCE W6P2 H12,Secretary,,R,Kris Kobach,57
Montgomery,INDEPENDENCE W6P2 H11A,Secretary,,R,Kris Kobach,61
Montgomery,INDEPENDENCE W6P2 H12A,Secretary,,R,Kris Kobach,6
Montgomery,CANEY-HAVANA,Secretary,,R,Kris Kobach,172
Montgomery,CANEY-TYRO,Secretary,,R,Kris Kobach,204
Montgomery,CHEROKEE,Secretary,,R,Kris Kobach,84
Montgomery,CHERRY,Secretary,,R,Kris Kobach,136
Montgomery,DRUM CREEK ,Secretary,,R,Kris Kobach,163
Montgomery,FAWN CREEK-DEARING,Secretary,,R,Kris Kobach,394
Montgomery,FAWN CREEK-TYRO,Secretary,,R,Kris Kobach,120
Montgomery,INDEPENDENCE TWP 1 H11,Secretary,,R,Kris Kobach,412
Montgomery,INDEPENDENCE TWP 1 H12,Secretary,,R,Kris Kobach,71
Montgomery,INDEPENDENCE TWP 2 A H12,Secretary,,R,Kris Kobach,95
Montgomery,INDEPENDENCE TWP 2 C H11,Secretary,,R,Kris Kobach,32
Montgomery,LIBERTY,Secretary,,R,Kris Kobach,134
Montgomery,LOUISBURG,Secretary,,R,Kris Kobach,127
Montgomery,PARKER 1,Secretary,,R,Kris Kobach,59
Montgomery,PARKER 2,Secretary,,R,Kris Kobach,184
Montgomery,PARKER 2 EX H11,Secretary,,R,Kris Kobach,5
Montgomery,RUTLAND,Secretary,,R,Kris Kobach,105
Montgomery,SYCAMORE,Secretary,,R,Kris Kobach,252
Montgomery,WEST CHERRY,Secretary,,R,Kris Kobach,79
Montgomery,CANEY W1P1,Secretary,,D,Jean Schodorf,31
Montgomery,CANEY W1P2 H12,Secretary,,D,Jean Schodorf,1
Montgomery,CANEY W2P1,Secretary,,D,Jean Schodorf,26
Montgomery,CANEY W3P1,Secretary,,D,Jean Schodorf,25
Montgomery,CANEY W3P2,Secretary,,D,Jean Schodorf,0
Montgomery,CANEY W4P1,Secretary,,D,Jean Schodorf,29
Montgomery,CANEY W4P2,Secretary,,D,Jean Schodorf,0
Montgomery,CHERRYVALE 1,Secretary,,D,Jean Schodorf,103
Montgomery,CHERRYVALE 2,Secretary,,D,Jean Schodorf,73
Montgomery,COFFEYVILLE 1,Secretary,,D,Jean Schodorf,23
Montgomery,COFFEYVILLE 2,Secretary,,D,Jean Schodorf,36
Montgomery,COFFEYVILLE 3,Secretary,,D,Jean Schodorf,61
Montgomery,COFFEYVILLE 4,Secretary,,D,Jean Schodorf,50
Montgomery,COFFEYVILLE 5,Secretary,,D,Jean Schodorf,77
Montgomery,COFFEYVILLE 6,Secretary,,D,Jean Schodorf,27
Montgomery,COFFEYVILLE 7,Secretary,,D,Jean Schodorf,30
Montgomery,COFFEYVILLE 8,Secretary,,D,Jean Schodorf,43
Montgomery,COFFEYVILLE 9,Secretary,,D,Jean Schodorf,19
Montgomery,COFFEYVILLE 10,Secretary,,D,Jean Schodorf,42
Montgomery,COFFEYVILLE 11,Secretary,,D,Jean Schodorf,102
Montgomery,COFFEYVILLE 12,Secretary,,D,Jean Schodorf,123
Montgomery,COFFEYVILLE 13,Secretary,,D,Jean Schodorf,106
Montgomery,INDEPENDENCE W1P1,Secretary,,D,Jean Schodorf,55
Montgomery,INDEPENDENCE W1P2,Secretary,,D,Jean Schodorf,68
Montgomery,INDEPENDENCE W2P1,Secretary,,D,Jean Schodorf,25
Montgomery,INDEPENDENCE W2P2,Secretary,,D,Jean Schodorf,23
Montgomery,INDEPENDENCE W3P1,Secretary,,D,Jean Schodorf,52
Montgomery,INDEPENDENCE W3P2,Secretary,,D,Jean Schodorf,31
Montgomery,INDEPENDENCE W3P2 EX,Secretary,,D,Jean Schodorf,0
Montgomery,INDEPENDENCE W4P1,Secretary,,D,Jean Schodorf,66
Montgomery,INDEPENDENCE W4P2,Secretary,,D,Jean Schodorf,41
Montgomery,INDEPENDENCE W5P1,Secretary,,D,Jean Schodorf,35
Montgomery,INDEPENDENCE W5P2,Secretary,,D,Jean Schodorf,84
Montgomery,INDEPENDENCE W6P1 H11,Secretary,,D,Jean Schodorf,7
Montgomery,INDEPENDENCE W6P1 H12,Secretary,,D,Jean Schodorf,105
Montgomery,INDEPENDENCE W6P2 H11,Secretary,,D,Jean Schodorf,66
Montgomery,INDEPENDENCE W6P2 H12,Secretary,,D,Jean Schodorf,17
Montgomery,INDEPENDENCE W6P2 H11A,Secretary,,D,Jean Schodorf,48
Montgomery,INDEPENDENCE W6P2 H12A,Secretary,,D,Jean Schodorf,3
Montgomery,CANEY-HAVANA,Secretary,,D,Jean Schodorf,39
Montgomery,CANEY-TYRO,Secretary,,D,Jean Schodorf,37
Montgomery,CHEROKEE,Secretary,,D,Jean Schodorf,40
Montgomery,CHERRY,Secretary,,D,Jean Schodorf,48
Montgomery,DRUM CREEK ,Secretary,,D,Jean Schodorf,44
Montgomery,FAWN CREEK-DEARING,Secretary,,D,Jean Schodorf,139
Montgomery,FAWN CREEK-TYRO,Secretary,,D,Jean Schodorf,23
Montgomery,INDEPENDENCE TWP 1 H11,Secretary,,D,Jean Schodorf,115
Montgomery,INDEPENDENCE TWP 1 H12,Secretary,,D,Jean Schodorf,20
Montgomery,INDEPENDENCE TWP 2 A H12,Secretary,,D,Jean Schodorf,41
Montgomery,INDEPENDENCE TWP 2 C H11,Secretary,,D,Jean Schodorf,8
Montgomery,LIBERTY,Secretary,,D,Jean Schodorf,52
Montgomery,LOUISBURG,Secretary,,D,Jean Schodorf,39
Montgomery,PARKER 1,Secretary,,D,Jean Schodorf,30
Montgomery,PARKER 2,Secretary,,D,Jean Schodorf,122
Montgomery,PARKER 2 EX H11,Secretary,,D,Jean Schodorf,4
Montgomery,RUTLAND,Secretary,,D,Jean Schodorf,24
Montgomery,SYCAMORE,Secretary,,D,Jean Schodorf,70
Montgomery,WEST CHERRY,Secretary,,D,Jean Schodorf,23
Montgomery,CANEY W1P1,Attorney,,R,Derek Schmidt,96
Montgomery,CANEY W1P2 H12,Attorney,,R,Derek Schmidt,4
Montgomery,CANEY W2P1,Attorney,,R,Derek Schmidt,79
Montgomery,CANEY W3P1,Attorney,,R,Derek Schmidt,103
Montgomery,CANEY W3P2,Attorney,,R,Derek Schmidt,2
Montgomery,CANEY W4P1,Attorney,,R,Derek Schmidt,129
Montgomery,CANEY W4P2,Attorney,,R,Derek Schmidt,1
Montgomery,CHERRYVALE 1,Attorney,,R,Derek Schmidt,235
Montgomery,CHERRYVALE 2,Attorney,,R,Derek Schmidt,174
Montgomery,COFFEYVILLE 1,Attorney,,R,Derek Schmidt,5
Montgomery,COFFEYVILLE 2,Attorney,,R,Derek Schmidt,56
Montgomery,COFFEYVILLE 3,Attorney,,R,Derek Schmidt,78
Montgomery,COFFEYVILLE 4,Attorney,,R,Derek Schmidt,109
Montgomery,COFFEYVILLE 5,Attorney,,R,Derek Schmidt,129
Montgomery,COFFEYVILLE 6,Attorney,,R,Derek Schmidt,35
Montgomery,COFFEYVILLE 7,Attorney,,R,Derek Schmidt,55
Montgomery,COFFEYVILLE 8,Attorney,,R,Derek Schmidt,67
Montgomery,COFFEYVILLE 9,Attorney,,R,Derek Schmidt,18
Montgomery,COFFEYVILLE 10,Attorney,,R,Derek Schmidt,68
Montgomery,COFFEYVILLE 11,Attorney,,R,Derek Schmidt,181
Montgomery,COFFEYVILLE 12,Attorney,,R,Derek Schmidt,273
Montgomery,COFFEYVILLE 13,Attorney,,R,Derek Schmidt,255
Montgomery,INDEPENDENCE W1P1,Attorney,,R,Derek Schmidt,94
Montgomery,INDEPENDENCE W1P2,Attorney,,R,Derek Schmidt,167
Montgomery,INDEPENDENCE W2P1,Attorney,,R,Derek Schmidt,62
Montgomery,INDEPENDENCE W2P2,Attorney,,R,Derek Schmidt,46
Montgomery,INDEPENDENCE W3P1,Attorney,,R,Derek Schmidt,133
Montgomery,INDEPENDENCE W3P2,Attorney,,R,Derek Schmidt,71
Montgomery,INDEPENDENCE W3P2 EX,Attorney,,R,Derek Schmidt,1
Montgomery,INDEPENDENCE W4P1,Attorney,,R,Derek Schmidt,136
Montgomery,INDEPENDENCE W4P2,Attorney,,R,Derek Schmidt,87
Montgomery,INDEPENDENCE W5P1,Attorney,,R,Derek Schmidt,82
Montgomery,INDEPENDENCE W5P2,Attorney,,R,Derek Schmidt,169
Montgomery,INDEPENDENCE W6P1 H11,Attorney,,R,Derek Schmidt,18
Montgomery,INDEPENDENCE W6P1 H12,Attorney,,R,Derek Schmidt,246
Montgomery,INDEPENDENCE W6P2 H11,Attorney,,R,Derek Schmidt,212
Montgomery,INDEPENDENCE W6P2 H12,Attorney,,R,Derek Schmidt,65
Montgomery,INDEPENDENCE W6P2 H11A,Attorney,,R,Derek Schmidt,86
Montgomery,INDEPENDENCE W6P2 H12A,Attorney,,R,Derek Schmidt,8
Montgomery,CANEY-HAVANA,Attorney,,R,Derek Schmidt,190
Montgomery,CANEY-TYRO,Attorney,,R,Derek Schmidt,220
Montgomery,CHEROKEE,Attorney,,R,Derek Schmidt,101
Montgomery,CHERRY,Attorney,,R,Derek Schmidt,154
Montgomery,DRUM CREEK ,Attorney,,R,Derek Schmidt,186
Montgomery,FAWN CREEK-DEARING,Attorney,,R,Derek Schmidt,442
Montgomery,FAWN CREEK-TYRO,Attorney,,R,Derek Schmidt,133
Montgomery,INDEPENDENCE TWP 1 H11,Attorney,,R,Derek Schmidt,461
Montgomery,INDEPENDENCE TWP 1 H12,Attorney,,R,Derek Schmidt,79
Montgomery,INDEPENDENCE TWP 2 A H12,Attorney,,R,Derek Schmidt,125
Montgomery,INDEPENDENCE TWP 2 C H11,Attorney,,R,Derek Schmidt,36
Montgomery,LIBERTY,Attorney,,R,Derek Schmidt,158
Montgomery,LOUISBURG,Attorney,,R,Derek Schmidt,145
Montgomery,PARKER 1,Attorney,,R,Derek Schmidt,68
Montgomery,PARKER 2,Attorney,,R,Derek Schmidt,230
Montgomery,PARKER 2 EX H11,Attorney,,R,Derek Schmidt,6
Montgomery,RUTLAND,Attorney,,R,Derek Schmidt,117
Montgomery,SYCAMORE,Attorney,,R,Derek Schmidt,292
Montgomery,WEST CHERRY,Attorney,,R,Derek Schmidt,82
Montgomery,CANEY W1P1,Attorney,,D,AJ Kotich,15
Montgomery,CANEY W1P2 H12,Attorney,,D,AJ Kotich,0
Montgomery,CANEY W2P1,Attorney,,D,AJ Kotich,21
Montgomery,CANEY W3P1,Attorney,,D,AJ Kotich,16
Montgomery,CANEY W3P2,Attorney,,D,AJ Kotich,0
