county,precinct,office,district,party,candidate,votes,,,,,,,,,
Elk,Busby-Painterhood,Secretary of State,,R,Kris Kobach,8,,,,,,,,,
Elk,Longton,Secretary of State,,R,Kris Kobach,94,,,,,,,,,
Elk,Oak Valley,Secretary of State,,R,Kris Kobach,34,,,,,,,,,
Elk,Union Ctr,Secretary of State,,R,Kris Kobach,21,,,,,,,,,
Elk,Howard,Secretary of State,,R,Kris Kobach,190,,,,,,,,,
Elk,Flat-Paw Paw,Secretary of State,,R,Kris Kobach,22,,,,,,,,,
Elk,Grenola-Greenfield,Secretary of State,,R,Kris Kobach,56,,,,,,,,,
Elk,Moline-Wildcat,Secretary of State,,R,Kris Kobach,126,,,,,,,,,
Elk,Elk Falls,Secretary of State,,R,Kris Kobach,35,,,,,,,,,
Elk,Advance,Secretary of State,,R,Kris Kobach,137,,,,,,,,,
Elk,Prov,Secretary of State,,R,Kris Kobach,12,,,,,,,,,
Elk,Liberty,Secretary of State,,D,Jean Schodorf,8,,,,,,,,,
Elk,Busby-Painterhood,Secretary of State,,D,Jean Schodorf,4,,,,,,,,,
Elk,Longton,Secretary of State,,D,Jean Schodorf,30,,,,,,,,,
Elk,Oak Valley,Secretary of State,,D,Jean Schodorf,11,,,,,,,,,
Elk,Union Ctr,Secretary of State,,D,Jean Schodorf,11,,,,,,,,,
Elk,Howard,Secretary of State,,D,Jean Schodorf,96,,,,,,,,,
Elk,Flat-Paw Paw,Secretary of State,,D,Jean Schodorf,10,,,,,,,,,
Elk,Grenola-Greenfield,Secretary of State,,D,Jean Schodorf,18,,,,,,,,,
Elk,Moline-Wildcat,Secretary of State,,D,Jean Schodorf,66,,,,,,,,,
Elk,Elk Falls,Secretary of State,,D,Jean Schodorf,17,,,,,,,,,
Elk,Advance,Secretary of State,,D,Jean Schodorf,62,,,,,,,,,
Elk,Prov,Secretary of State,,D,Jean Schodorf,5,,,,,,,,,
Elk,Liberty,Attorney General,,R,Derek Schmidt,14,,,,,,,,,
Elk,Busby-Painterhood,Attorney General,,R,Derek Schmidt,11,,,,,,,,,
Elk,Longton,Attorney General,,R,Derek Schmidt,102,,,,,,,,,
Elk,Oak Valley,Attorney General,,R,Derek Schmidt,38,,,,,,,,,
Elk,Union Ctr,Attorney General,,R,Derek Schmidt,26,,,,,,,,,
Elk,Howard,Attorney General,,R,Derek Schmidt,256,,,,,,,,,
Elk,Flat-Paw Paw,Attorney General,,R,Derek Schmidt,29,,,,,,,,,
Elk,Grenola-Greenfield,Attorney General,,R,Derek Schmidt,63,,,,,,,,,
Elk,Moline-Wildcat,Attorney General,,R,Derek Schmidt,161,,,,,,,,,
Elk,Elk Falls,Attorney General,,R,Derek Schmidt,45,,,,,,,,,
Elk,Advance,Attorney General,,R,Derek Schmidt,182,,,,,,,,,
Elk,Prov,Attorney General,,R,Derek Schmidt,14,,,,,,,,,
Elk,Liberty,Attorney General,,D,AJ Kotich,5,,,,,,,,,
Elk,Busby-Painterhood,Attorney General,,D,AJ Kotich,1,,,,,,,,,
Elk,Longton,Attorney General,,D,AJ Kotich,21,,,,,,,,,
Elk,Oak Valley,Attorney General,,D,AJ Kotich,7,,,,,,,,,
Elk,Union Ctr,Attorney General,,D,AJ Kotich,6,,,,,,,,,
Elk,Howard,Attorney General,,D,AJ Kotich,32,,,,,,,,,
Elk,Flat-Paw Paw,Attorney General,,D,AJ Kotich,3,,,,,,,,,
Elk,Grenola-Greenfield,Attorney General,,D,AJ Kotich,11,,,,,,,,,
Elk,Moline-Wildcat,Attorney General,,D,AJ Kotich,30,,,,,,,,,
Elk,Elk Falls,Attorney General,,D,AJ Kotich,7,,,,,,,,,
Elk,Advance,Attorney General,,D,AJ Kotich,22,,,,,,,,,
Elk,Prov,Attorney General,,D,AJ Kotich,3,,,,,,,,,
Elk,Liberty,State Treasurer,,R,Ron Estes,14,,,,,,,,,
Elk,Busby-Painterhood,State Treasurer,,R,Ron Estes,12,,,,,,,,,
Elk,Longton,State Treasurer,,R,Ron Estes,99,,,,,,,,,
Elk,Oak Valley,State Treasurer,,R,Ron Estes,36,,,,,,,,,
Elk,Union Ctr,State Treasurer,,R,Ron Estes,27,,,,,,,,,
Elk,Howard,State Treasurer,,R,Ron Estes,240,,,,,,,,,
Elk,Flat-Paw Paw,State Treasurer,,R,Ron Estes,25,,,,,,,,,
Elk,Grenola-Greenfield,State Treasurer,,R,Ron Estes,60,,,,,,,,,
Elk,Moline-Wildcat,State Treasurer,,R,Ron Estes,135,,,,,,,,,
Elk,Elk Falls,State Treasurer,,R,Ron Estes,40,,,,,,,,,
Elk,Advance,State Treasurer,,R,Ron Estes,168,,,,,,,,,
Elk,Prov,State Treasurer,,R,Ron Estes,13,,,,,,,,,
Elk,Liberty,State Treasurer,,D,Carmen Alldritt,5,,,,,,,,,
Elk,Busby-Painterhood,State Treasurer,,D,Carmen Alldritt,0,,,,,,,,,
Elk,Longton,State Treasurer,,D,Carmen Alldritt,24,,,,,,,,,
Elk,Oak Valley,State Treasurer,,D,Carmen Alldritt,8,,,,,,,,,
Elk,Union Ctr,State Treasurer,,D,Carmen Alldritt,5,,,,,,,,,
Elk,Howard,State Treasurer,,D,Carmen Alldritt,46,,,,,,,,,
Elk,Flat-Paw Paw,State Treasurer,,D,Carmen Alldritt,6,,,,,,,,,
Elk,Grenola-Greenfield,State Treasurer,,D,Carmen Alldritt,14,,,,,,,,,
Elk,Moline-Wildcat,State Treasurer,,D,Carmen Alldritt,50,,,,,,,,,
Elk,Elk Falls,State Treasurer,,D,Carmen Alldritt,11,,,,,,,,,
Elk,Advance,State Treasurer,,D,Carmen Alldritt,31,,,,,,,,,
Elk,Prov,State Treasurer,,D,Carmen Alldritt,2,,,,,,,,,
Elk,Liberty,Insurance Commissioner,,R,Ken Selzer,14,,,,,,,,,
Elk,Busby-Painterhood,Insurance Commissioner,,R,Ken Selzer,9,,,,,,,,,
Elk,Longton,Insurance Commissioner,,R,Ken Selzer,98,,,,,,,,,
Elk,Oak Valley,Insurance Commissioner,,R,Ken Selzer,32,,,,,,,,,
Elk,Union Ctr,Insurance Commissioner,,R,Ken Selzer,23,,,,,,,,,
Elk,Howard,Insurance Commissioner,,R,Ken Selzer,210,,,,,,,,,
Elk,Flat-Paw Paw,Insurance Commissioner,,R,Ken Selzer,26,,,,,,,,,
Elk,Grenola-Greenfield,Insurance Commissioner,,R,Ken Selzer,56,,,,,,,,,
Elk,Moline-Wildcat,Insurance Commissioner,,R,Ken Selzer,114,,,,,,,,,
Elk,Elk Falls,Insurance Commissioner,,R,Ken Selzer,37,,,,,,,,,
Elk,Advance,Insurance Commissioner,,R,Ken Selzer,150,,,,,,,,,
Elk,Prov,Insurance Commissioner,,R,Ken Selzer,13,,,,,,,,,
Elk,Liberty,Insurance Commissioner,,D,Dennis Anderson,5,,,,,,,,,
Elk,Busby-Painterhood,Insurance Commissioner,,D,Dennis Anderson,2,,,,,,,,,
Elk,Longton,Insurance Commissioner,,D,Dennis Anderson,24,,,,,,,,,
Elk,Oak Valley,Insurance Commissioner,,D,Dennis Anderson,10,,,,,,,,,
Elk,Union Ctr,Insurance Commissioner,,D,Dennis Anderson,8,,,,,,,,,
Elk,Howard,Insurance Commissioner,,D,Dennis Anderson,65,,,,,,,,,
Elk,Flat-Paw Paw,Insurance Commissioner,,D,Dennis Anderson,5,,,,,,,,,
Elk,Grenola-Greenfield,Insurance Commissioner,,D,Dennis Anderson,17,,,,,,,,,
Elk,Moline-Wildcat,Insurance Commissioner,,D,Dennis Anderson,56,,,,,,,,,
Elk,Elk Falls,Insurance Commissioner,,D,Dennis Anderson,14,,,,,,,,,
Elk,Advance,Insurance Commissioner,,D,Dennis Anderson,45,,,,,,,,,
Elk,Prov,Insurance Commissioner,,D,Dennis Anderson,3,,,,,,,,,
Elk,Liberty,State House,13,R,Larry Hibbard [R],20,,,,,,,,,
Elk,Busby-Painterhood,State House,13,R,Larry Hibbard [R],11,,,,,,,,,
Elk,Longton,State House,12,R,Virgil Peck [R],100,,,,,,,,,
Elk,Oak Valley,State House,12,R,Virgil Peck [R],35,,,,,,,,,
Elk,Union Ctr,State House,13,R,Larry Hibbard [R],31,,,,,,,,,
Elk,Howard,State House,13,R,Larry Hibbard [R],258,,,,,,,,,
Elk,Flat-Paw Paw,State House,13,R,Larry Hibbard [R],30,,,,,,,,,
Elk,Grenola-Greenfield,State House,13,R,Larry Hibbard [R],66,,,,,,,,,
Elk,Moline-Wildcat,State House,13,R,Larry Hibbard [R],162,,,,,,,,,
Elk,Elk Falls,State House,12,R,Virgil Peck [R],39,,,,,,,,,
Elk,Advance,State House,12,R,Virgil Peck [R],23,,,,,,,,,
Elk,Prov,State House,12,R,Virgil Peck [R],11,,,,,,,,,
Elk,Advance,State House,13,R,Larry Hibbard [R],155,,,,,,,,,
Elk,Prov,State House,13,R,Larry Hibbard [R],3,,,,,,,,,
Elk,Longton,State House,12,D,Eden Fuson [D],23,,,,,,,,,
Elk,Oak Valley,State House,12,D,Eden Fuson [D],9,,,,,,,,,
Elk,Elk Falls,State House,12,D,Eden Fuson [D],13,,,,,,,,,
Elk,Advance,State House,12,D,Eden Fuson [D],5,,,,,,,,,
Elk,Prov,State House,12,D,Eden Fuson [D],3,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,82
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,355
