county,precinct,office,district,party,candidate,poll
Pratt,WARD 1,Governor,,R,Sam Brownback,212
Pratt,WARD 2,Governor,,R,Sam Brownback,131
Pratt,WARD 3,Governor,,R,Sam Brownback,265
Pratt,WARD 4,Governor,,R,Sam Brownback,218
Pratt,WARD 5,Governor,,R,Sam Brownback,224
Pratt,TWP 6,Governor,,R,Sam Brownback,125
Pratt,TWP 7,Governor,,R,Sam Brownback,68
Pratt,TWP 8,Governor,,R,Sam Brownback,27
Pratt,TWP 9,Governor,,R,Sam Brownback,75
Pratt,TWP 10,Governor,,R,Sam Brownback,41
Pratt,TWP 11,Governor,,R,Sam Brownback,75
Pratt,TWP 12,Governor,,R,Sam Brownback,258
Pratt,WARD 1,Governor,,D,Paul Davis,165
Pratt,WARD 2,Governor,,D,Paul Davis,90
Pratt,WARD 3,Governor,,D,Paul Davis,287
Pratt,WARD 4,Governor,,D,Paul Davis,203
Pratt,WARD 5,Governor,,D,Paul Davis,164
Pratt,TWP 6,Governor,,D,Paul Davis,70
Pratt,TWP 7,Governor,,D,Paul Davis,39
Pratt,TWP 8,Governor,,D,Paul Davis,20
Pratt,TWP 9,Governor,,D,Paul Davis,30
Pratt,TWP 10,Governor,,D,Paul Davis,16
Pratt,TWP 11,Governor,,D,Paul Davis,29
Pratt,TWP 12,Governor,,D,Paul Davis,185
Pratt,WARD 1,Governor,,L,Keen Umbehr,20
Pratt,WARD 2,Governor,,L,Keen Umbehr,12
Pratt,WARD 3,Governor,,L,Keen Umbehr,26
Pratt,WARD 4,Governor,,L,Keen Umbehr,21
Pratt,WARD 5,Governor,,L,Keen Umbehr,17
Pratt,TWP 6,Governor,,L,Keen Umbehr,7
Pratt,TWP 7,Governor,,L,Keen Umbehr,7
Pratt,TWP 8,Governor,,L,Keen Umbehr,0
Pratt,TWP 9,Governor,,L,Keen Umbehr,3
Pratt,TWP 10,Governor,,L,Keen Umbehr,2
Pratt,TWP 11,Governor,,L,Keen Umbehr,5
Pratt,TWP 12,Governor,,L,Keen Umbehr,13
Pratt,WARD 1,Secretary of  State,,D,Jean Schodorf,126
Pratt,WARD 2,Secretary of  State,,D,Jean Schodorf,74
Pratt,WARD 3,Secretary of  State,,D,Jean Schodorf,193
Pratt,WARD 4,Secretary of  State,,D,Jean Schodorf,169
Pratt,WARD 5,Secretary of  State,,D,Jean Schodorf,129
Pratt,TWP 6,Secretary of  State,,D,Jean Schodorf,60
Pratt,TWP 7,Secretary of  State,,D,Jean Schodorf,34
Pratt,TWP 8,Secretary of  State,,D,Jean Schodorf,29
Pratt,TWP 9,Secretary of  State,,D,Jean Schodorf,22
Pratt,TWP 10,Secretary of  State,,D,Jean Schodorf,13
Pratt,TWP 11,Secretary of  State,,D,Jean Schodorf,22
Pratt,TWP 12,Secretary of  State,,D,Jean Schodorf,134
Pratt,WARD 1,Secretary of  State,,R,Kris Kobach,265
Pratt,WARD 2,Secretary of  State,,R,Kris Kobach,154
Pratt,WARD 3,Secretary of  State,,R,Kris Kobach,366
Pratt,WARD 4,Secretary of  State,,R,Kris Kobach,265
Pratt,WARD 5,Secretary of  State,,R,Kris Kobach,267
Pratt,TWP 6,Secretary of  State,,R,Kris Kobach,141
Pratt,TWP 7,Secretary of  State,,R,Kris Kobach,77
Pratt,TWP 8,Secretary of  State,,R,Kris Kobach,27
Pratt,TWP 9,Secretary of  State,,R,Kris Kobach,85
Pratt,TWP 10,Secretary of  State,,R,Kris Kobach,45
Pratt,TWP 11,Secretary of  State,,R,Kris Kobach,84
Pratt,TWP 12,Secretary of  State,,R,Kris Kobach,314
Pratt,WARD 1,Attorney General,,R,Derek Schmidt,310
Pratt,WARD 2,Attorney General,,R,Derek Schmidt,174
Pratt,WARD 3,Attorney General,,R,Derek Schmidt,440
Pratt,WARD 4,Attorney General,,R,Derek Schmidt,329
Pratt,WARD 5,Attorney General,,R,Derek Schmidt,322
Pratt,TWP 6,Attorney General,,R,Derek Schmidt,162
Pratt,TWP 7,Attorney General,,R,Derek Schmidt,91
Pratt,TWP 8,Attorney General,,R,Derek Schmidt,41
Pratt,TWP 9,Attorney General,,R,Derek Schmidt,88
Pratt,TWP 10,Attorney General,,R,Derek Schmidt,48
Pratt,TWP 11,Attorney General,,R,Derek Schmidt,89
Pratt,TWP 12,Attorney General,,R,Derek Schmidt,369
Pratt,WARD 1,Attorney General,,D,AJ Kotich,76
Pratt,WARD 2,Attorney General,,D,AJ Kotich,52
Pratt,WARD 3,Attorney General,,D,AJ Kotich,112
Pratt,WARD 4,Attorney General,,D,AJ Kotich,103
Pratt,WARD 5,Attorney General,,D,AJ Kotich,67
Pratt,TWP 6,Attorney General,,D,AJ Kotich,35
Pratt,TWP 7,Attorney General,,D,AJ Kotich,18
Pratt,TWP 8,Attorney General,,D,AJ Kotich,4
Pratt,TWP 9,Attorney General,,D,AJ Kotich,17
Pratt,TWP 10,Attorney General,,D,AJ Kotich,8
Pratt,TWP 11,Attorney General,,D,AJ Kotich,16
Pratt,TWP 12,Attorney General,,D,AJ Kotich,69
Pratt,WARD 1,State Treasurer,,R,Ron Estes,311
Pratt,WARD 2,State Treasurer,,R,Ron Estes,170
Pratt,WARD 3,State Treasurer,,R,Ron Estes,444
Pratt,WARD 4,State Treasurer,,R,Ron Estes,317
Pratt,WARD 5,State Treasurer,,R,Ron Estes,322
Pratt,TWP 6,State Treasurer,,R,Ron Estes,163
Pratt,TWP 7,State Treasurer,,R,Ron Estes,89
Pratt,TWP 8,State Treasurer,,R,Ron Estes,43
Pratt,TWP 9,State Treasurer,,R,Ron Estes,90
Pratt,TWP 10,State Treasurer,,R,Ron Estes,51
Pratt,TWP 11,State Treasurer,,R,Ron Estes,91
Pratt,TWP 12,State Treasurer,,R,Ron Estes,378
Pratt,WARD 1,State Treasurer,,D,Carmen Alldritt,75
Pratt,WARD 2,State Treasurer,,D,Carmen Alldritt,53
Pratt,WARD 3,State Treasurer,,D,Carmen Alldritt,105
Pratt,WARD 4,State Treasurer,,D,Carmen Alldritt,108
Pratt,WARD 5,State Treasurer,,D,Carmen Alldritt,66
Pratt,TWP 6,State Treasurer,,D,Carmen Alldritt,34
Pratt,TWP 7,State Treasurer,,D,Carmen Alldritt,23
Pratt,TWP 8,State Treasurer,,D,Carmen Alldritt,2
Pratt,TWP 9,State Treasurer,,D,Carmen Alldritt,17
Pratt,TWP 10,State Treasurer,,D,Carmen Alldritt,6
Pratt,TWP 11,State Treasurer,,D,Carmen Alldritt,14
Pratt,TWP 12,State Treasurer,,D,Carmen Alldritt,68
Pratt,WARD 1,Insurance Commissioner,,R,Ken Selzer,273
Pratt,WARD 2,Insurance Commissioner,,R,Ken Selzer,161
Pratt,WARD 3,Insurance Commissioner,,R,Ken Selzer,391
Pratt,WARD 4,Insurance Commissioner,,R,Ken Selzer,282
Pratt,WARD 5,Insurance Commissioner,,R,Ken Selzer,283
Pratt,TWP 6,Insurance Commissioner,,R,Ken Selzer,146
Pratt,TWP 7,Insurance Commissioner,,R,Ken Selzer,84
Pratt,TWP 8,Insurance Commissioner,,R,Ken Selzer,38
Pratt,TWP 9,Insurance Commissioner,,R,Ken Selzer,87
Pratt,TWP 10,Insurance Commissioner,,R,Ken Selzer,49
Pratt,TWP 11,Insurance Commissioner,,R,Ken Selzer,83
Pratt,TWP 12,Insurance Commissioner,,R,Ken Selzer,326
Pratt,WARD 1,Insurance Commissioner,,D,Dennis Anderson,102
Pratt,WARD 2,Insurance Commissioner,,D,Dennis Anderson,61
Pratt,WARD 3,Insurance Commissioner,,D,Dennis Anderson,153
Pratt,WARD 4,Insurance Commissioner,,D,Dennis Anderson,134
Pratt,WARD 5,Insurance Commissioner,,D,Dennis Anderson,90
Pratt,TWP 6,Insurance Commissioner,,D,Dennis Anderson,46
Pratt,TWP 7,Insurance Commissioner,,D,Dennis Anderson,26
Pratt,TWP 8,Insurance Commissioner,,D,Dennis Anderson,5
Pratt,TWP 9,Insurance Commissioner,,D,Dennis Anderson,17
Pratt,TWP 10,Insurance Commissioner,,D,Dennis Anderson,6
Pratt,TWP 11,Insurance Commissioner,,D,Dennis Anderson,20
Pratt,TWP 12,Insurance Commissioner,,D,Dennis Anderson,103
Pratt,WARD 1,State House,113,R,Jeremy Dannebohm,324
Pratt,WARD 2,State House,113,R,Jeremy Dannebohm,189
Pratt,WARD 3,State House,113,R,Jeremy Dannebohm,456
Pratt,WARD 4,State House,113,R,Jeremy Dannebohm,337
Pratt,WARD 5,State House,113,R,Jeremy Dannebohm,322
Pratt,TWP 6,State House,113,R,Jeremy Dannebohm,163
Pratt,TWP 7,State House,113,R,Jeremy Dannebohm,90
Pratt,TWP 8,State House,113,R,Jeremy Dannebohm,37
Pratt,TWP 9,State House,113,R,Jeremy Dannebohm,91
Pratt,TWP 10,State House,113,R,Jeremy Dannebohm,51
Pratt,TWP 11,State House,113,R,Jeremy Dannebohm,89
Pratt,TWP 12,State House,113,R,Jeremy Dannebohm,369
