county,precinct,office,district,party,candidate,election_day,votes,advance
Elk,Greenfield,U.S. House,4,REP,Michael Pompeo,73,105,32
Elk,Howard,U.S. House,4,REP,Michael Pompeo,259,323,64
Elk,Liberty,U.S. House,4,REP,Michael Pompeo,20,38,18
Elk,Longton,U.S. House,4,REP,Michael Pompeo,103,115,12
Elk,Oak Valley,U.S. House,4,REP,Michael Pompeo,29,36,7
Elk,Painterhood,U.S. House,4,REP,Michael Pompeo,17,22,5
Elk,Paw Paw,U.S. House,4,REP,Michael Pompeo,40,45,5
Elk,Union Center,U.S. House,4,REP,Michael Pompeo,32,39,7
Elk,Wild Cat,U.S. House,4,REP,Michael Pompeo,166,190,24
Elk,Total,U.S. House,4,REP,Michael Pompeo,789,992,203
Elk,Elk Falls,U.S. House,4,IND,Miranda Allen,7,7,0
Elk,Greenfield,U.S. House,4,IND,Miranda Allen,5,7,2
Elk,Howard,U.S. House,4,IND,Miranda Allen,18,24,6
Elk,Liberty,U.S. House,4,IND,Miranda Allen,2,2,0
Elk,Longton,U.S. House,4,IND,Miranda Allen,10,12,2
Elk,Oak Valley,U.S. House,4,IND,Miranda Allen,5,5,0
Elk,Painterhood,U.S. House,4,IND,Miranda Allen,1,1,0
Elk,Paw Paw,U.S. House,4,IND,Miranda Allen,2,2,0
Elk,Union Center,U.S. House,4,IND,Miranda Allen,1,1,0
Elk,Wild Cat,U.S. House,4,IND,Miranda Allen,19,21,2
Elk,Total,U.S. House,4,IND,Miranda Allen,70,82,12
Elk,Elk Falls,U.S. Senate,,REP,Jerry Moran,57,85,28
Elk,Greenfield,U.S. Senate,,REP,Jerry Moran,72,105,33
Elk,Howard,U.S. Senate,,REP,Jerry Moran,261,325,64
Elk,Liberty,U.S. Senate,,REP,Jerry Moran,19,37,18
Elk,Longton,U.S. Senate,,REP,Jerry Moran,104,117,13
Elk,Oak Valley,U.S. Senate,,REP,Jerry Moran,30,37,7
Elk,Painterhood,U.S. Senate,,REP,Jerry Moran,14,19,5
Elk,Paw Paw,U.S. Senate,,REP,Jerry Moran,38,43,5
Elk,Union Center,U.S. Senate,,REP,Jerry Moran,35,42,7
Elk,Wild Cat,U.S. Senate,,REP,Jerry Moran,179,202,23
Elk,Total,U.S. Senate,,REP,Jerry Moran,809,1012,203
Elk,Elk Falls,U.S. Senate,,DEM,Patrick Wiesner,6,7,378
Elk,Greenfield,U.S. Senate,,DEM,Patrick Wiesner,16,21,5
Elk,Howard,U.S. Senate,,DEM,Patrick Wiesner,39,53,14
Elk,Liberty,U.S. Senate,,DEM,Patrick Wiesner,3,4,1
Elk,Longton,U.S. Senate,,DEM,Patrick Wiesner,13,16,3
Elk,Oak Valley,U.S. Senate,,DEM,Patrick Wiesner,3,7,4
Elk,Painterhood,U.S. Senate,,DEM,Patrick Wiesner,4,4,0
Elk,Paw Paw,U.S. Senate,,DEM,Patrick Wiesner,3,4,1
Elk,Union Center,U.S. Senate,,DEM,Patrick Wiesner,1,2,1
Elk,Wild Cat,U.S. Senate,,DEM,Patrick Wiesner,25,36,11
Elk,Total,U.S. Senate,,DEM,Patrick Wiesner,113,154,41
Elk,Elk Falls,U.S. Senate,,LIB,Robert Garrard,5,5,0
Elk,Greenfield,U.S. Senate,,LIB,Robert Garrard,3,4,1
Elk,Howard,U.S. Senate,,LIB,Robert Garrard,21,24,3
Elk,Liberty,U.S. Senate,,LIB,Robert Garrard,0,0,0
Elk,Longton,U.S. Senate,,LIB,Robert Garrard,15,19,4
Elk,Oak Valley,U.S. Senate,,LIB,Robert Garrard,7,7,0
Elk,Painterhood,U.S. Senate,,LIB,Robert Garrard,2,2,0
Elk,Paw Paw,U.S. Senate,,LIB,Robert Garrard,5,5,0
Elk,Union Center,U.S. Senate,,LIB,Robert Garrard,3,3,0
Elk,Wild Cat,U.S. Senate,,LIB,Robert Garrard,11,14,3
Elk,Total,U.S. Senate,,LIB,Robert Garrard,72,83,11
