county,precinct,office,district,party,candidate,votes,,,,,,,,,,,
Kingman,Grand Total,President,,REP,Trump/Pence,2530,,,,,,,,,,,
Kingman,Allen,President,,DEM,Clinton/Kaine,5,,,,,,,,,,,
Kingman,Belmont,President,,DEM,Clinton/Kaine,5,,,,,,,,,,,
Kingman,Bennett,President,,DEM,Clinton/Kaine,62,,,,,,,,,,,
Kingman,Canton,President,,DEM,Clinton/Kaine,4,,,,,,,,,,,
Kingman,Chikaskia,President,,DEM,Clinton/Kaine,8,,,,,,,,,,,
Kingman,Dale,President,,DEM,Clinton/Kaine,14,,,,,,,,,,,
Kingman,Dresden,President,,DEM,Clinton/Kaine,32,,,,,,,,,,,
Kingman,Eagle,President,,DEM,Clinton/Kaine,5,,,,,,,,,,,
Kingman,Eureka,President,,DEM,Clinton/Kaine,5,,,,,,,,,,,
Kingman,Evan,President,,DEM,Clinton/Kaine,27,,,,,,,,,,,
Kingman,Galesburg,President,,DEM,Clinton/Kaine,13,,,,,,,,,,,
Kingman,Hoosier,President,,DEM,Clinton/Kaine,13,,,,,,,,,,,
Kingman,Kingman,President,,DEM,Clinton/Kaine,5,,,,,,,,,,,
Kingman,Liberty,President,,DEM,Clinton/Kaine,6,,,,,,,,,,,
Kingman,Ninnescah,President,,DEM,Clinton/Kaine,11,,,,,,,,,,,
Kingman,Peters,President,,DEM,Clinton/Kaine,4,,,,,,,,,,,
Kingman,Richland,President,,DEM,Clinton/Kaine,3,,,,,,,,,,,
Kingman,Rochester,President,,DEM,Clinton/Kaine,15,,,,,,,,,,,
Kingman,Rural,President,,DEM,Clinton/Kaine,27,,,,,,,,,,,
Kingman,Union,President,,DEM,Clinton/Kaine,8,,,,,,,,,,,
Kingman,Valley,President,,DEM,Clinton/Kaine,11,,,,,,,,,,,
Kingman,Vinita,President,,DEM,Clinton/Kaine,22,,,,,,,,,,,
Kingman,White,President,,DEM,Clinton/Kaine,15,,,,,,,,,,,
Kingman,White #3,President,,DEM,Clinton/Kaine,9,,,,,,,,,,,
Kingman,Kingman City 1st Ward,President,,DEM,Clinton/Kaine,81,,,,,,,,,,,
Kingman,Kingman City 2nd Ward,President,,DEM,Clinton/Kaine,114,,,,,,,,,,,
Kingman,Kingman City 3rd Ward,President,,DEM,Clinton/Kaine,32,,,,,,,,,,,
Kingman,Kingman City 4th Ward,President,,DEM,Clinton/Kaine,38,,,,,,,,,,,
Kingman,Totals,President,,DEM,Clinton/Kaine,594,,,,,,,,,,,
Kingman,Provisionals,President,,DEM,Clinton/Kaine,5,,,,,,,,,,,
Kingman,Grand Total,President,,DEM,Clinton/Kaine,599,,,,,,,,,,,
Kingman,Allen,President,,LIB,Johnson/Weld,2,,,,,,,,,,,
Kingman,Belmont,President,,LIB,Johnson/Weld,0,,,,,,,,,,,
Kingman,Bennett,President,,LIB,Johnson/Weld,7,,,,,,,,,,,
Kingman,Canton,President,,LIB,Johnson/Weld,0,,,,,,,,,,,
Kingman,Chikaskia,President,,LIB,Johnson/Weld,2,,,,,,,,,,,
Kingman,Dale,President,,LIB,Johnson/Weld,1,,,,,,,,,,,
Kingman,Dresden,President,,LIB,Johnson/Weld,3,,,,,,,,,,,
Kingman,Eagle,President,,LIB,Johnson/Weld,5,,,,,,,,,,,
Kingman,Eureka,President,,LIB,Johnson/Weld,4,,,,,,,,,,,
Kingman,Evan,President,,LIB,Johnson/Weld,10,,,,,,,,,,,
Kingman,Galesburg,President,,LIB,Johnson/Weld,5,,,,,,,,,,,
Kingman,Hoosier,President,,LIB,Johnson/Weld,0,,,,,,,,,,,
Kingman,Kingman,President,,LIB,Johnson/Weld,2,,,,,,,,,,,
Kingman,Liberty,President,,LIB,Johnson/Weld,0,,,,,,,,,,,
Kingman,Ninnescah,President,,LIB,Johnson/Weld,6,,,,,,,,,,,
Kingman,Peters,President,,LIB,Johnson/Weld,1,,,,,,,,,,,
Kingman,Richland,President,,LIB,Johnson/Weld,0,,,,,,,,,,,
Kingman,Rochester,President,,LIB,Johnson/Weld,8,,,,,,,,,,,
Kingman,Rural,President,,LIB,Johnson/Weld,3,,,,,,,,,,,
Kingman,Union,President,,LIB,Johnson/Weld,0,,,,,,,,,,,
Kingman,Valley,President,,LIB,Johnson/Weld,0,,,,,,,,,,,
Kingman,Vinita,President,,LIB,Johnson/Weld,1,,,,,,,,,,,
Kingman,White,President,,LIB,Johnson/Weld,0,,,,,,,,,,,
Kingman,White #3,President,,LIB,Johnson/Weld,2,,,,,,,,,,,
Kingman,Kingman City 1st Ward,President,,LIB,Johnson/Weld,12,,,,,,,,,,,
Kingman,Kingman City 2nd Ward,President,,LIB,Johnson/Weld,22,,,,,,,,,,,
Kingman,Kingman City 3rd Ward,President,,LIB,Johnson/Weld,4,,,,,,,,,,,
Kingman,Kingman City 4th Ward,President,,LIB,Johnson/Weld,12,,,,,,,,,,,
Kingman,Totals,President,,LIB,Johnson/Weld,112,,,,,,,,,,,
Kingman,Provisionals,President,,LIB,Johnson/Weld,2,,,,,,,,,,,
Kingman,Grand Total,President,,LIB,Johnson/Weld,114,,,,,,,,,,,
Kingman,Allen,U.S. Senate,,REP,Jerry Moran,37,,,,,,,,,,,
Kingman,Belmont,U.S. Senate,,REP,Jerry Moran,19,,,,,,,,,,,
Kingman,Bennett,U.S. Senate,,REP,Jerry Moran,210,,,,,,,,,,,
Kingman,Canton,U.S. Senate,,REP,Jerry Moran,44,,,,,,,,,,,
Kingman,Chikaskia,U.S. Senate,,REP,Jerry Moran,41,,,,,,,,,,,
Kingman,Dale,U.S. Senate,,REP,Jerry Moran,62,,,,,,,,,,,
Kingman,Dresden,U.S. Senate,,REP,Jerry Moran,127,,,,,,,,,,,
Kingman,Eagle,U.S. Senate,,REP,Jerry Moran,43,,,,,,,,,,,
Kingman,Eureka,U.S. Senate,,REP,Jerry Moran,48,,,,,,,,,,,
Kingman,Evan,U.S. Senate,,REP,Jerry Moran,226,,,,,,,,,,,
Kingman,Galesburg,U.S. Senate,,REP,Jerry Moran,92,,,,,,,,,,,
Kingman,Hoosier,U.S. Senate,,REP,Jerry Moran,56,,,,,,,,,,,
Kingman,Kingman,U.S. Senate,,REP,Jerry Moran,42,,,,,,,,,,,
Kingman,Liberty,U.S. Senate,,REP,Jerry Moran,40,,,,,,,,,,,
Kingman,Ninnescah,U.S. Senate,,REP,Jerry Moran,134,,,,,,,,,,,
Kingman,Peters,U.S. Senate,,REP,Jerry Moran,43,,,,,,,,,,,
Kingman,Richland,U.S. Senate,,REP,Jerry Moran,46,,,,,,,,,,,
Kingman,Rochester,U.S. Senate,,REP,Jerry Moran,59,,,,,,,,,,,
Kingman,Rural,U.S. Senate,,REP,Jerry Moran,96,,,,,,,,,,,
Kingman,Union,U.S. Senate,,REP,Jerry Moran,27,,,,,,,,,,,
Kingman,Valley,U.S. Senate,,REP,Jerry Moran,42,,,,,,,,,,,
Kingman,Vinita,U.S. Senate,,REP,Jerry Moran,98,,,,,,,,,,,
Kingman,White,U.S. Senate,,REP,Jerry Moran,87,,,,,,,,,,,
Kingman,White #3,U.S. Senate,,REP,Jerry Moran,47,,,,,,,,,,,
Kingman,Kingman City 1st Ward,U.S. Senate,,REP,Jerry Moran,248,,,,,,,,,,,
Kingman,Kingman City 2nd Ward,U.S. Senate,,REP,Jerry Moran,332,,,,,,,,,,,
Kingman,Kingman City 3rd Ward,U.S. Senate,,REP,Jerry Moran,132,,,,,,,,,,,
Kingman,Kingman City 4th Ward,U.S. Senate,,REP,Jerry Moran,162,,,,,,,,,,,
Kingman,Totals,U.S. Senate,,REP,Jerry Moran,2640,,,,,,,,,,,
Kingman,Provisionals,U.S. Senate,,REP,Jerry Moran,21,,,,,,,,,,,
Kingman,Grand Total,U.S. Senate,,REP,Jerry Moran,2661,,,,,,,,,,,
Kingman,Allen,U.S. Senate,,DEM,Patrick Wiesner,9,,,,,,,,,,,
Kingman,Belmont,U.S. Senate,,DEM,Patrick Wiesner,6,,,,,,,,,,,
Kingman,Bennett,U.S. Senate,,DEM,Patrick Wiesner,52,,,,,,,,,,,
Kingman,Canton,U.S. Senate,,DEM,Patrick Wiesner,1,,,,,,,,,,,
Kingman,Chikaskia,U.S. Senate,,DEM,Patrick Wiesner,9,,,,,,,,,,,
Kingman,Dale,U.S. Senate,,DEM,Patrick Wiesner,10,,,,,,,,,,,
Kingman,Dresden,U.S. Senate,,DEM,Patrick Wiesner,31,,,,,,,,,,,
Kingman,Eagle,U.S. Senate,,DEM,Patrick Wiesner,4,,,,,,,,,,,
Kingman,Eureka,U.S. Senate,,DEM,Patrick Wiesner,4,,,,,,,,,,,
Kingman,Evan,U.S. Senate,,DEM,Patrick Wiesner,24,,,,,,,,,,,
Kingman,Galesburg,U.S. Senate,,DEM,Patrick Wiesner,17,,,,,,,,,,,
Kingman,Hoosier,U.S. Senate,,DEM,Patrick Wiesner,5,,,,,,,,,,,
Kingman,Kingman,U.S. Senate,,DEM,Patrick Wiesner,4,,,,,,,,,,,
Kingman,Liberty,U.S. Senate,,DEM,Patrick Wiesner,4,,,,,,,,,,,
Kingman,Ninnescah,U.S. Senate,,DEM,Patrick Wiesner,6,,,,,,,,,,,
Kingman,Peters,U.S. Senate,,DEM,Patrick Wiesner,7,,,,,,,,,,,
Kingman,Richland,U.S. Senate,,DEM,Patrick Wiesner,1,,,,,,,,,,,
Kingman,Rochester,U.S. Senate,,DEM,Patrick Wiesner,20,,,,,,,,,,,
Kingman,Rural,U.S. Senate,,DEM,Patrick Wiesner,25,,,,,,,,,,,
Kingman,Union,U.S. Senate,,DEM,Patrick Wiesner,5,,,,,,,,,,,
Kingman,Valley,U.S. Senate,,DEM,Patrick Wiesner,8,,,,,,,,,,,
Kingman,Vinita,U.S. Senate,,DEM,Patrick Wiesner,19,,,,,,,,,,,
Kingman,White,U.S. Senate,,DEM,Patrick Wiesner,9,,,,,,,,,,,
Kingman,White #3,U.S. Senate,,DEM,Patrick Wiesner,6,,,,,,,,,,,
Kingman,Kingman City 1st Ward,U.S. Senate,,DEM,Patrick Wiesner,51,,,,,,,,,,,
Kingman,Kingman City 2nd Ward,U.S. Senate,,DEM,Patrick Wiesner,88,,,,,,,,,,,
Kingman,Kingman City 3rd Ward,U.S. Senate,,DEM,Patrick Wiesner,23,,,,,,,,,,,
Kingman,Kingman City 4th Ward,U.S. Senate,,DEM,Patrick Wiesner,36,,,,,,,,,,,
Kingman,Totals,U.S. Senate,,DEM,Patrick Wiesner,484,,,,,,,,,,,
Kingman,Provisionals,U.S. Senate,,DEM,Patrick Wiesner,6,,,,,,,,,,,
Kingman,Grand Total,U.S. Senate,,DEM,Patrick Wiesner,490,,,,,,,,,,,
Kingman,Allen,U.S. Senate,,LIB,Robert D. Garrard,6,,,,,,,,,,,
Kingman,Belmont,U.S. Senate,,LIB,Robert D. Garrard,0,,,,,,,,,,,
Kingman,Bennett,U.S. Senate,,LIB,Robert D. Garrard,21,,,,,,,,,,,
Kingman,Canton,U.S. Senate,,LIB,Robert D. Garrard,0,,,,,,,,,,,
Kingman,Chikaskia,U.S. Senate,,LIB,Robert D. Garrard,1,,,,,,,,,,,
Kingman,Dale,U.S. Senate,,LIB,Robert D. Garrard,5,,,,,,,,,,,
Kingman,Dresden,U.S. Senate,,LIB,Robert D. Garrard,12,,,,,,,,,,,
Kingman,Eagle,U.S. Senate,,LIB,Robert D. Garrard,4,,,,,,,,,,,
Kingman,Eureka,U.S. Senate,,LIB,Robert D. Garrard,5,,,,,,,,,,,
Kingman,Evan,U.S. Senate,,LIB,Robert D. Garrard,15,,,,,,,,,,,
Kingman,Galesburg,U.S. Senate,,LIB,Robert D. Garrard,8,,,,,,,,,,,
Kingman,Hoosier,U.S. Senate,,LIB,Robert D. Garrard,8,,,,,,,,,,,
Kingman,Kingman,U.S. Senate,,LIB,Robert D. Garrard,4,,,,,,,,,,,
Kingman,Liberty,U.S. Senate,,LIB,Robert D. Garrard,6,,,,,,,,,,,
Kingman,Ninnescah,U.S. Senate,,LIB,Robert D. Garrard,3,,,,,,,,,,,
Kingman,Peters,U.S. Senate,,LIB,Robert D. Garrard,0,,,,,,,,,,,
Kingman,Richland,U.S. Senate,,LIB,Robert D. Garrard,3,,,,,,,,,,,
Kingman,Rochester,U.S. Senate,,LIB,Robert D. Garrard,3,,,,,,,,,,,
Kingman,Rural,U.S. Senate,,LIB,Robert D. Garrard,9,,,,,,,,,,,
Kingman,Union,U.S. Senate,,LIB,Robert D. Garrard,1,,,,,,,,,,,
Kingman,Valley,U.S. Senate,,LIB,Robert D. Garrard,1,,,,,,,,,,,
Kingman,Vinita,U.S. Senate,,LIB,Robert D. Garrard,2,,,,,,,,,,,
Kingman,White,U.S. Senate,,LIB,Robert D. Garrard,2,,,,,,,,,,,
Kingman,White #3,U.S. Senate,,LIB,Robert D. Garrard,1,,,,,,,,,,,
Kingman,Kingman City 1st Ward,U.S. Senate,,LIB,Robert D. Garrard,12,,,,,,,,,,,
Kingman,Kingman City 2nd Ward,U.S. Senate,,LIB,Robert D. Garrard,24,,,,,,,,,,,
Kingman,Kingman City 3rd Ward,U.S. Senate,,LIB,Robert D. Garrard,7,,,,,,,,,,,
Kingman,Kingman City 4th Ward,U.S. Senate,,LIB,Robert D. Garrard,19,,,,,,,,,,,
Kingman,Totals,U.S. Senate,,LIB,Robert D. Garrard,182,,,,,,,,,,,
Kingman,Provisionals,U.S. Senate,,LIB,Robert D. Garrard,4,,,,,,,,,,,
Kingman,Grand Total,U.S. Senate,,LIB,Robert D. Garrard,186,,,,,,,,,,,
Kingman,Allen,U.S. House,4,DEM,Daniel B. Giroux,8,,,,,,,,,,,
Kingman,Belmont,U.S. House,4,DEM,Daniel B. Giroux,3,,,,,,,,,,,
Kingman,Bennett,U.S. House,4,DEM,Daniel B. Giroux,52,,,,,,,,,,,
Kingman,Canton,U.S. House,4,DEM,Daniel B. Giroux,3,,,,,,,,,,,
Kingman,Chikaskia,U.S. House,4,DEM,Daniel B. Giroux,11,,,,,,,,,,,
Kingman,Dale,U.S. House,4,DEM,Daniel B. Giroux,13,,,,,,,,,,,
Kingman,Dresden,U.S. House,4,DEM,Daniel B. Giroux,37,,,,,,,,,,,
Kingman,Eagle,U.S. House,4,DEM,Daniel B. Giroux,6,,,,,,,,,,,
Kingman,Eureka,U.S. House,4,DEM,Daniel B. Giroux,3,,,,,,,,,,,
Kingman,Evan,U.S. House,4,DEM,Daniel B. Giroux,31,,,,,,,,,,,
Kingman,Galesburg,U.S. House,4,DEM,Daniel B. Giroux,16,,,,,,,,,,,
Kingman,Hoosier,U.S. House,4,DEM,Daniel B. Giroux,8,,,,,,,,,,,
Kingman,Kingman,U.S. House,4,DEM,Daniel B. Giroux,4,,,,,,,,,,,
Kingman,Liberty,U.S. House,4,DEM,Daniel B. Giroux,4,,,,,,,,,,,
Kingman,Ninnescah,U.S. House,4,DEM,Daniel B. Giroux,13,,,,,,,,,,,
Kingman,Peters,U.S. House,4,DEM,Daniel B. Giroux,5,,,,,,,,,,,
Kingman,Richland,U.S. House,4,DEM,Daniel B. Giroux,1,,,,,,,,,,,
Kingman,Rochester,U.S. House,4,DEM,Daniel B. Giroux,13,,,,,,,,,,,
Kingman,Rural,U.S. House,4,DEM,Daniel B. Giroux,32,,,,,,,,,,,
Kingman,Union,U.S. House,4,DEM,Daniel B. Giroux,5,,,,,,,,,,,
Kingman,Valley,U.S. House,4,DEM,Daniel B. Giroux,13,,,,,,,,,,,
Kingman,Vinita,U.S. House,4,DEM,Daniel B. Giroux,23,,,,,,,,,,,
Kingman,White,U.S. House,4,DEM,Daniel B. Giroux,21,,,,,,,,,,,
Kingman,White #3,U.S. House,4,DEM,Daniel B. Giroux,14,,,,,,,,,,,
Kingman,Kingman City 1st Ward,U.S. House,4,DEM,Daniel B. Giroux,74,,,,,,,,,,,
Kingman,Kingman City 2nd Ward,U.S. House,4,DEM,Daniel B. Giroux,100,,,,,,,,,,,
Kingman,Kingman City 3rd Ward,U.S. House,4,DEM,Daniel B. Giroux,33,,,,,,,,,,,
Kingman,Kingman City 4th Ward,U.S. House,4,DEM,Daniel B. Giroux,45,,,,,,,,,,,
Kingman,Totals,U.S. House,4,DEM,Daniel B. Giroux,591,,,,,,,,,,,
Kingman,Provisionals,U.S. House,4,DEM,Daniel B. Giroux,4,,,,,,,,,,,
Kingman,Grand Total,U.S. House,4,DEM,Daniel B. Giroux,595,,,,,,,,,,,
Kingman,Allen,U.S. House,4,REP,Michael Pompeo,32,,,,,,,,,,,
Kingman,Belmont,U.S. House,4,REP,Michael Pompeo,20,,,,,,,,,,,
Kingman,Bennett,U.S. House,4,REP,Michael Pompeo,192,,,,,,,,,,,
Kingman,Canton,U.S. House,4,REP,Michael Pompeo,39,,,,,,,,,,,
Kingman,Chikaskia,U.S. House,4,REP,Michael Pompeo,35,,,,,,,,,,,
Kingman,Dale,U.S. House,4,REP,Michael Pompeo,56,,,,,,,,,,,
Kingman,Dresden,U.S. House,4,REP,Michael Pompeo,112,,,,,,,,,,,
Kingman,Eagle,U.S. House,4,REP,Michael Pompeo,38,,,,,,,,,,,
Kingman,Eureka,U.S. House,4,REP,Michael Pompeo,46,,,,,,,,,,,
Kingman,Evan,U.S. House,4,REP,Michael Pompeo,208,,,,,,,,,,,
Kingman,Galesburg,U.S. House,4,REP,Michael Pompeo,88,,,,,,,,,,,
Kingman,Hoosier,U.S. House,4,REP,Michael Pompeo,55,,,,,,,,,,,
Kingman,Kingman,U.S. House,4,REP,Michael Pompeo,37,,,,,,,,,,,
Kingman,Liberty,U.S. House,4,REP,Michael Pompeo,35,,,,,,,,,,,
Kingman,Ninnescah,U.S. House,4,REP,Michael Pompeo,122,,,,,,,,,,,
Kingman,Peters,U.S. House,4,REP,Michael Pompeo,36,,,,,,,,,,,
Kingman,Richland,U.S. House,4,REP,Michael Pompeo,43,,,,,,,,,,,
Kingman,Rochester,U.S. House,4,REP,Michael Pompeo,52,,,,,,,,,,,
Kingman,Rural,U.S. House,4,REP,Michael Pompeo,79,,,,,,,,,,,
Kingman,Union,U.S. House,4,REP,Michael Pompeo,24,,,,,,,,,,,
Kingman,Valley,U.S. House,4,REP,Michael Pompeo,35,,,,,,,,,,,
Kingman,Vinita,U.S. House,4,REP,Michael Pompeo,81,,,,,,,,,,,
Kingman,White,U.S. House,4,REP,Michael Pompeo,71,,,,,,,,,,,
Kingman,White #3,U.S. House,4,REP,Michael Pompeo,34,,,,,,,,,,,
Kingman,Kingman City 1st Ward,U.S. House,4,REP,Michael Pompeo,216,,,,,,,,,,,
Kingman,Kingman City 2nd Ward,U.S. House,4,REP,Michael Pompeo,298,,,,,,,,,,,
Kingman,Kingman City 3rd Ward,U.S. House,4,REP,Michael Pompeo,118,,,,,,,,,,,
Kingman,Kingman City 4th Ward,U.S. House,4,REP,Michael Pompeo,151,,,,,,,,,,,
Kingman,Totals,U.S. House,4,REP,Michael Pompeo,2353,,,,,,,,,,,
Kingman,Provisionals,U.S. House,4,REP,Michael Pompeo,21,,,,,,,,,,,
Kingman,Grand Total,U.S. House,4,REP,Michael Pompeo,2374,,,,,,,,,,,
Kingman,Allen,U.S. House,4,LIB,Gorden J. Bakken,0,,,,,,,,,,,
Kingman,Belmont,U.S. House,4,LIB,Gorden J. Bakken,0,,,,,,,,,,,
Kingman,Bennett,U.S. House,4,LIB,Gorden J. Bakken,10,,,,,,,,,,,
Kingman,Canton,U.S. House,4,LIB,Gorden J. Bakken,1,,,,,,,,,,,
Kingman,Chikaskia,U.S. House,4,LIB,Gorden J. Bakken,1,,,,,,,,,,,
Kingman,Dale,U.S. House,4,LIB,Gorden J. Bakken,2,,,,,,,,,,,
Kingman,Dresden,U.S. House,4,LIB,Gorden J. Bakken,2,,,,,,,,,,,
Kingman,Eagle,U.S. House,4,LIB,Gorden J. Bakken,1,,,,,,,,,,,
Kingman,Eureka,U.S. House,4,LIB,Gorden J. Bakken,1,,,,,,,,,,,
Kingman,Evan,U.S. House,4,LIB,Gorden J. Bakken,5,,,,,,,,,,,
Kingman,Galesburg,U.S. House,4,LIB,Gorden J. Bakken,5,,,,,,,,,,,
Kingman,Hoosier,U.S. House,4,LIB,Gorden J. Bakken,4,,,,,,,,,,,
Kingman,Kingman,U.S. House,4,LIB,Gorden J. Bakken,1,,,,,,,,,,,
Kingman,Liberty,U.S. House,4,LIB,Gorden J. Bakken,2,,,,,,,,,,,
Kingman,Ninnescah,U.S. House,4,LIB,Gorden J. Bakken,1,,,,,,,,,,,
Kingman,Peters,U.S. House,4,LIB,Gorden J. Bakken,0,,,,,,,,,,,
Kingman,Richland,U.S. House,4,LIB,Gorden J. Bakken,0,,,,,,,,,,,
Kingman,Rochester,U.S. House,4,LIB,Gorden J. Bakken,3,,,,,,,,,,,
Kingman,Rural,U.S. House,4,LIB,Gorden J. Bakken,2,,,,,,,,,,,
Kingman,Union,U.S. House,4,LIB,Gorden J. Bakken,1,,,,,,,,,,,
Kingman,Valley,U.S. House,4,LIB,Gorden J. Bakken,0,,,,,,,,,,,
Kingman,Vinita,U.S. House,4,LIB,Gorden J. Bakken,4,,,,,,,,,,,
Kingman,White,U.S. House,4,LIB,Gorden J. Bakken,0,,,,,,,,,,,
Kingman,White #3,U.S. House,4,LIB,Gorden J. Bakken,1,,,,,,,,,,,
Kingman,Kingman City 1st Ward,U.S. House,4,LIB,Gorden J. Bakken,5,,,,,,,,,,,
Kingman,Kingman City 2nd Ward,U.S. House,4,LIB,Gorden J. Bakken,8,,,,,,,,,,,
Kingman,Kingman City 3rd Ward,U.S. House,4,LIB,Gorden J. Bakken,3,,,,,,,,,,,
Kingman,Kingman City 4th Ward,U.S. House,4,LIB,Gorden J. Bakken,4,,,,,,,,,,,
Kingman,Totals,U.S. House,4,LIB,Gorden J. Bakken,67,,,,,,,,,,,
Kingman,Provisionals,U.S. House,4,LIB,Gorden J. Bakken,0,,,,,,,,,,,
Kingman,Grand Total,U.S. House,4,LIB,Gorden J. Bakken,67,,,,,,,,,,,
Kingman,Allen,U.S. House,4,IND,Miranda Allen,12,,,,,,,,,,,
Kingman,Belmont,U.S. House,4,IND,Miranda Allen,2,,,,,,,,,,,
Kingman,Bennett,U.S. House,4,IND,Miranda Allen,31,,,,,,,,,,,
Kingman,Canton,U.S. House,4,IND,Miranda Allen,2,,,,,,,,,,,
Kingman,Chikaskia,U.S. House,4,IND,Miranda Allen,3,,,,,,,,,,,
Kingman,Dale,U.S. House,4,IND,Miranda Allen,6,,,,,,,,,,,
Kingman,Dresden,U.S. House,4,IND,Miranda Allen,17,,,,,,,,,,,
Kingman,Eagle,U.S. House,4,IND,Miranda Allen,6,,,,,,,,,,,
Kingman,Eureka,U.S. House,4,IND,Miranda Allen,6,,,,,,,,,,,
Kingman,Evan,U.S. House,4,IND,Miranda Allen,19,,,,,,,,,,,
Kingman,Galesburg,U.S. House,4,IND,Miranda Allen,8,,,,,,,,,,,
Kingman,Hoosier,U.S. House,4,IND,Miranda Allen,3,,,,,,,,,,,
Kingman,Kingman,U.S. House,4,IND,Miranda Allen,8,,,,,,,,,,,
