county,precinct,office,party,party,candidate,votes
Butler,Lincoln Twp,President,,LBT,Gary Johnson,4
Butler,Logan Twp,President,,LBT,Gary Johnson,2
Butler,Murdock Twp,President,,LBT,Gary Johnson,3
Butler,Prospect Twp,President,,LBT,Gary Johnson,23
Butler,Rock Creek Twp,President,,LBT,Gary Johnson,5
Butler,Rosalia Twp,President,,LBT,Gary Johnson,11
Butler,Spring Twp,President,,LBT,Gary Johnson,34
Butler,Walnut Twp,President,,LBT,Gary Johnson,8
Butler,,President,,IND,Jill Stein,395
Butler,Andover W1,President,,IND,Jill Stein,41
Butler,Andover W2,President,,IND,Jill Stein,21
Butler,Andover W3,President,,IND,Jill Stein,15
Butler,Andover W4,President,,IND,Jill Stein,0
Butler,Augusta City W1,President,,IND,Jill Stein,19
Butler,Augusta City W2,President,,IND,Jill Stein,11
Butler,Augusta City W3,President,,IND,Jill Stein,21
Butler,Augusta City W4,President,,IND,Jill Stein,15
Butler,El Dorado W1,President,,IND,Jill Stein,24
Butler,El Dorado W2,President,,IND,Jill Stein,29
Butler,El Dorado W3,President,,IND,Jill Stein,17
Butler,El Dorado W4,President,,IND,Jill Stein,12
Butler,Rose Hill City,President,,IND,Jill Stein,26
Butler,Rose Hill City,President,,IND,Jill Stein,18
Butler,Benton City/Benton Twp,President,,IND,Jill Stein,11
Butler,Cassoday/Sycamore Twp,President,,IND,Jill Stein,2
Butler,Douglass City/Twp,President,,IND,Jill Stein,11
Butler,Elbing City/Fairmount Twp,President,,IND,Jill Stein,5
Butler,Latham/Union,President,,IND,Jill Stein,1
Butler,Leon/Little Walnut,President,,IND,Jill Stein,5
Butler,Potwin/Plum Grove,President,,IND,Jill Stein,6
Butler,Towanda City,President,,IND,Jill Stein,9
Butler,Towanda Twp,President,,IND,Jill Stein,5
Butler,Whitewater/Milton - 72,President,,IND,Jill Stein,3
Butler,Whitewater/Milton - 75,President,,IND,Jill Stein,0
Butler,Augusta Twp - 16,President,,IND,Jill Stein,9
Butler,Augusta Twp - 14,President,,IND,Jill Stein,1
Butler,Bloomington Twp,President,,IND,Jill Stein,4
Butler,Bruno Twp North - 77,President,,IND,Jill Stein,1
Butler,Bruno Twp South - 77,President,,IND,Jill Stein,2
Butler,Bruno Twp North - 99,President,,IND,Jill Stein,2
Butler,Bruno Twp South - 99,President,,IND,Jill Stein,2
Butler,Chelsea Twp,President,,IND,Jill Stein,1
Butler,Clay Twp,President,,IND,Jill Stein,2
Butler,Clifford Twp,President,,IND,Jill Stein,1
Butler,El Dorado Twp East,President,,IND,Jill Stein,4
Butler,El Dorado Twp West,President,,IND,Jill Stein,1
Butler,Fairview Twp,President,,IND,Jill Stein,0
Butler,Glencoe Twp,President,,IND,Jill Stein,1
Butler,Hickory Twp,President,,IND,Jill Stein,0
Butler,Lincoln Twp,President,,IND,Jill Stein,2
Butler,Logan Twp,President,,IND,Jill Stein,1
Butler,Murdock Twp,President,,IND,Jill Stein,4
Butler,Prospect Twp,President,,IND,Jill Stein,8
Butler,Rock Creek Twp,President,,IND,Jill Stein,2
Butler,Rosalia Twp,President,,IND,Jill Stein,3
Butler,Spring Twp,President,,IND,Jill Stein,12
Butler,Walnut Twp,President,,IND,Jill Stein,5
Butler,,President,,R,Donald Trump,19071
Butler,Andover W1,President,,R,Donald Trump,1636
Butler,Andover W2,President,,R,Donald Trump,1104
Butler,Andover W3,President,,R,Donald Trump,641
Butler,Andover W4,President,,R,Donald Trump,96
Butler,Augusta City W1,President,,R,Donald Trump,522
Butler,Augusta City W2,President,,R,Donald Trump,431
Butler,Augusta City W3,President,,R,Donald Trump,729
Butler,Augusta City W4,President,,R,Donald Trump,739
Butler,El Dorado W1,President,,R,Donald Trump,1007
Butler,El Dorado W2,President,,R,Donald Trump,811
Butler,El Dorado W3,President,,R,Donald Trump,632
Butler,El Dorado W4,President,,R,Donald Trump,485
Butler,Rose Hill City,President,,R,Donald Trump,1628
Butler,Rose Hill City,President,,R,Donald Trump,836
Butler,Benton City/Benton Twp,President,,R,Donald Trump,899
Butler,Cassoday/Sycamore Twp,President,,R,Donald Trump,121
Butler,Douglass City/Twp,President,,R,Donald Trump,603
Butler,Elbing City/Fairmount Twp,President,,R,Donald Trump,231
Butler,Latham/Union,President,,R,Donald Trump,58
Butler,Leon/Little Walnut,President,,R,Donald Trump,260
Butler,Potwin/Plum Grove,President,,R,Donald Trump,165
Butler,Towanda City,President,,R,Donald Trump,420
Butler,Towanda Twp,President,,R,Donald Trump,490
Butler,Whitewater/Milton - 72,President,,R,Donald Trump,255
Butler,Whitewater/Milton - 75,President,,R,Donald Trump,169
Butler,Augusta Twp - 16,President,,R,Donald Trump,347
Butler,Augusta Twp - 14,President,,R,Donald Trump,114
Butler,Bloomington Twp,President,,R,Donald Trump,183
Butler,Bruno Twp North - 77,President,,R,Donald Trump,401
Butler,Bruno Twp South - 77,President,,R,Donald Trump,101
Butler,Bruno Twp North - 99,President,,R,Donald Trump,236
Butler,Bruno Twp South - 99,President,,R,Donald Trump,115
Butler,Chelsea Twp,President,,R,Donald Trump,91
Butler,Clay Twp,President,,R,Donald Trump,31
Butler,Clifford Twp,President,,R,Donald Trump,88
Butler,El Dorado Twp East,President,,R,Donald Trump,59
Butler,El Dorado Twp West,President,,R,Donald Trump,188
Butler,Fairview Twp,President,,R,Donald Trump,195
Butler,Glencoe Twp,President,,R,Donald Trump,66
Butler,Hickory Twp,President,,R,Donald Trump,44
Butler,Lincoln Twp,President,,R,Donald Trump,103
Butler,Logan Twp,President,,R,Donald Trump,37
Butler,Murdock Twp,President,,R,Donald Trump,185
Butler,Prospect Twp,President,,R,Donald Trump,399
Butler,Rock Creek Twp,President,,R,Donald Trump,113
Butler,Rosalia Twp,President,,R,Donald Trump,210
Butler,Spring Twp,President,,R,Donald Trump,544
Butler,Walnut Twp,President,,R,Donald Trump,253
Butler,,U.S. Senate,,LBT,Robert Garrard,1908
Butler,Andover W1,U.S. Senate,,LBT,Robert Garrard,162
Butler,Andover W2,U.S. Senate,,LBT,Robert Garrard,127
Butler,Andover W3,U.S. Senate,,LBT,Robert Garrard,71
Butler,Andover W4,U.S. Senate,,LBT,Robert Garrard,2
Butler,Augusta City W1,U.S. Senate,,LBT,Robert Garrard,84
Butler,Augusta City W2,U.S. Senate,,LBT,Robert Garrard,60
Butler,Augusta City W3,U.S. Senate,,LBT,Robert Garrard,70
Butler,Augusta City W4,U.S. Senate,,LBT,Robert Garrard,56
Butler,El Dorado W1,U.S. Senate,,LBT,Robert Garrard,84
Butler,El Dorado W2,U.S. Senate,,LBT,Robert Garrard,105
Butler,El Dorado W3,U.S. Senate,,LBT,Robert Garrard,74
Butler,El Dorado W4,U.S. Senate,,LBT,Robert Garrard,59
Butler,Rose Hill City,U.S. Senate,,LBT,Robert Garrard,151
Butler,Rose Hill City,U.S. Senate,,LBT,Robert Garrard,82
Butler,Benton City/Benton Twp,U.S. Senate,,LBT,Robert Garrard,72
Butler,Cassoday/Sycamore Twp,U.S. Senate,,LBT,Robert Garrard,10
Butler,Douglass City/Twp,U.S. Senate,,LBT,Robert Garrard,64
Butler,Elbing City/Fairmount Twp,U.S. Senate,,LBT,Robert Garrard,11
Butler,Latham/Union,U.S. Senate,,LBT,Robert Garrard,5
Butler,Leon/Little Walnut,U.S. Senate,,LBT,Robert Garrard,30
Butler,Potwin/Plum Grove,U.S. Senate,,LBT,Robert Garrard,14
Butler,Towanda City,U.S. Senate,,LBT,Robert Garrard,49
Butler,Towanda Twp,U.S. Senate,,LBT,Robert Garrard,40
Butler,Whitewater/Milton - 72,U.S. Senate,,LBT,Robert Garrard,24
Butler,Whitewater/Milton - 75,U.S. Senate,,LBT,Robert Garrard,5
Butler,Augusta Twp - 16,U.S. Senate,,LBT,Robert Garrard,40
Butler,Augusta Twp - 14,U.S. Senate,,LBT,Robert Garrard,11
Butler,Bloomington Twp,U.S. Senate,,LBT,Robert Garrard,23
Butler,Bruno Twp North - 77,U.S. Senate,,LBT,Robert Garrard,48
Butler,Bruno Twp South - 77,U.S. Senate,,LBT,Robert Garrard,9
Butler,Bruno Twp North - 99,U.S. Senate,,LBT,Robert Garrard,26
Butler,Bruno Twp South - 99,U.S. Senate,,LBT,Robert Garrard,11
Butler,Chelsea Twp,U.S. Senate,,LBT,Robert Garrard,6
Butler,Clay Twp,U.S. Senate,,LBT,Robert Garrard,4
Butler,Clifford Twp,U.S. Senate,,LBT,Robert Garrard,2
Butler,El Dorado Twp East,U.S. Senate,,LBT,Robert Garrard,11
Butler,El Dorado Twp West,U.S. Senate,,LBT,Robert Garrard,12
Butler,Fairview Twp,U.S. Senate,,LBT,Robert Garrard,19
Butler,Glencoe Twp,U.S. Senate,,LBT,Robert Garrard,3
Butler,Hickory Twp,U.S. Senate,,LBT,Robert Garrard,0
Butler,Lincoln Twp,U.S. Senate,,LBT,Robert Garrard,10
Butler,Logan Twp,U.S. Senate,,LBT,Robert Garrard,1
Butler,Murdock Twp,U.S. Senate,,LBT,Robert Garrard,5
Butler,Prospect Twp,U.S. Senate,,LBT,Robert Garrard,42
Butler,Rock Creek Twp,U.S. Senate,,LBT,Robert Garrard,8
Butler,Rosalia Twp,U.S. Senate,,LBT,Robert Garrard,15
Butler,Spring Twp,U.S. Senate,,LBT,Robert Garrard,64
Butler,Walnut Twp,U.S. Senate,,LBT,Robert Garrard,27
Butler,,U.S. Senate,,R,Jerry Moran,19703
Butler,Andover W1,U.S. Senate,,R,Jerry Moran,1843
Butler,Andover W2,U.S. Senate,,R,Jerry Moran,1158
Butler,Andover W3,U.S. Senate,,R,Jerry Moran,679
Butler,Andover W4,U.S. Senate,,R,Jerry Moran,105
Butler,Augusta City W1,U.S. Senate,,R,Jerry Moran,526
Butler,Augusta City W2,U.S. Senate,,R,Jerry Moran,412
Butler,Augusta City W3,U.S. Senate,,R,Jerry Moran,785
Butler,Augusta City W4,U.S. Senate,,R,Jerry Moran,807
Butler,El Dorado W1,U.S. Senate,,R,Jerry Moran,1111
Butler,El Dorado W2,U.S. Senate,,R,Jerry Moran,856
Butler,El Dorado W3,U.S. Senate,,R,Jerry Moran,653
Butler,El Dorado W4,U.S. Senate,,R,Jerry Moran,487
Butler,Rose Hill City,U.S. Senate,,R,Jerry Moran,1650
Butler,Rose Hill City,U.S. Senate,,R,Jerry Moran,843
Butler,Benton City/Benton Twp,U.S. Senate,,R,Jerry Moran,925
Butler,Cassoday/Sycamore Twp,U.S. Senate,,R,Jerry Moran,126
Butler,Douglass City/Twp,U.S. Senate,,R,Jerry Moran,602
Butler,Elbing City/Fairmount Twp,U.S. Senate,,R,Jerry Moran,254
Butler,Latham/Union,U.S. Senate,,R,Jerry Moran,58
Butler,Leon/Little Walnut,U.S. Senate,,R,Jerry Moran,264
Butler,Potwin/Plum Grove,U.S. Senate,,R,Jerry Moran,171
Butler,Towanda City,U.S. Senate,,R,Jerry Moran,404
Butler,Towanda Twp,U.S. Senate,,R,Jerry Moran,488
Butler,Whitewater/Milton - 72,U.S. Senate,,R,Jerry Moran,257
Butler,Whitewater/Milton - 75,U.S. Senate,,R,Jerry Moran,182
Butler,Augusta Twp - 16,U.S. Senate,,R,Jerry Moran,323
Butler,Augusta Twp - 14,U.S. Senate,,R,Jerry Moran,120
Butler,Bloomington Twp,U.S. Senate,,R,Jerry Moran,174
Butler,Bruno Twp North - 77,U.S. Senate,,R,Jerry Moran,415
Butler,Bruno Twp South - 77,U.S. Senate,,R,Jerry Moran,102
Butler,Bruno Twp North - 99,U.S. Senate,,R,Jerry Moran,248
Butler,Bruno Twp South - 99,U.S. Senate,,R,Jerry Moran,117
Butler,Chelsea Twp,U.S. Senate,,R,Jerry Moran,87
Butler,Clay Twp,U.S. Senate,,R,Jerry Moran,32
Butler,Clifford Twp,U.S. Senate,,R,Jerry Moran,92
Butler,El Dorado Twp East,U.S. Senate,,R,Jerry Moran,64
Butler,El Dorado Twp West,U.S. Senate,,R,Jerry Moran,193
Butler,Fairview Twp,U.S. Senate,,R,Jerry Moran,195
Butler,Glencoe Twp,U.S. Senate,,R,Jerry Moran,64
Butler,Hickory Twp,U.S. Senate,,R,Jerry Moran,41
Butler,Lincoln Twp,U.S. Senate,,R,Jerry Moran,105
Butler,Logan Twp,U.S. Senate,,R,Jerry Moran,40
Butler,Murdock Twp,U.S. Senate,,R,Jerry Moran,180
Butler,Prospect Twp,U.S. Senate,,R,Jerry Moran,400
Butler,Rock Creek Twp,U.S. Senate,,R,Jerry Moran,108
Butler,Rosalia Twp,U.S. Senate,,R,Jerry Moran,206
Butler,Spring Twp,U.S. Senate,,R,Jerry Moran,511
Butler,Walnut Twp,U.S. Senate,,R,Jerry Moran,240
Butler,,U.S. Senate,,D,Patrick Wiesner,5915
Butler,Andover W1,U.S. Senate,,D,Patrick Wiesner,648
Butler,Andover W2,U.S. Senate,,D,Patrick Wiesner,454
Butler,Andover W3,U.S. Senate,,D,Patrick Wiesner,242
Butler,Andover W4,U.S. Senate,,D,Patrick Wiesner,21
Butler,Augusta City W1,U.S. Senate,,D,Patrick Wiesner,191
Butler,Augusta City W2,U.S. Senate,,D,Patrick Wiesner,155
Butler,Augusta City W3,U.S. Senate,,D,Patrick Wiesner,301
Butler,Augusta City W4,U.S. Senate,,D,Patrick Wiesner,205
Butler,El Dorado W1,U.S. Senate,,D,Patrick Wiesner,339
Butler,El Dorado W2,U.S. Senate,,D,Patrick Wiesner,380
Butler,El Dorado W3,U.S. Senate,,D,Patrick Wiesner,239
Butler,El Dorado W4,U.S. Senate,,D,Patrick Wiesner,222
Butler,Rose Hill City,U.S. Senate,,D,Patrick Wiesner,451
Butler,Rose Hill City,U.S. Senate,,D,Patrick Wiesner,212
Butler,Benton City/Benton Twp,U.S. Senate,,D,Patrick Wiesner,223
Butler,Cassoday/Sycamore Twp,U.S. Senate,,D,Patrick Wiesner,19
Butler,Douglass City/Twp,U.S. Senate,,D,Patrick Wiesner,173
Butler,Elbing City/Fairmount Twp,U.S. Senate,,D,Patrick Wiesner,38
Butler,Latham/Union,U.S. Senate,,D,Patrick Wiesner,10
Butler,Leon/Little Walnut,U.S. Senate,,D,Patrick Wiesner,78
Butler,Potwin/Plum Grove,U.S. Senate,,D,Patrick Wiesner,59
Butler,Towanda City,U.S. Senate,,D,Patrick Wiesner,127
Butler,Towanda Twp,U.S. Senate,,D,Patrick Wiesner,81
Butler,Whitewater/Milton - 72,U.S. Senate,,D,Patrick Wiesner,52
Butler,Whitewater/Milton - 75,U.S. Senate,,D,Patrick Wiesner,22
Butler,Augusta Twp - 16,U.S. Senate,,D,Patrick Wiesner,66
Butler,Augusta Twp - 14,U.S. Senate,,D,Patrick Wiesner,40
Butler,Bloomington Twp,U.S. Senate,,D,Patrick Wiesner,45
Butler,Bruno Twp North - 77,U.S. Senate,,D,Patrick Wiesner,99
Butler,Bruno Twp South - 77,U.S. Senate,,D,Patrick Wiesner,20
Butler,Bruno Twp North - 99,U.S. Senate,,D,Patrick Wiesner,54
Butler,Bruno Twp South - 99,U.S. Senate,,D,Patrick Wiesner,25
Butler,Chelsea Twp,U.S. Senate,,D,Patrick Wiesner,28
Butler,Clay Twp,U.S. Senate,,D,Patrick Wiesner,6
Butler,Clifford Twp,U.S. Senate,,D,Patrick Wiesner,12
Butler,El Dorado Twp East,U.S. Senate,,D,Patrick Wiesner,22
Butler,El Dorado Twp West,U.S. Senate,,D,Patrick Wiesner,44
Butler,Fairview Twp,U.S. Senate,,D,Patrick Wiesner,42
Butler,Glencoe Twp,U.S. Senate,,D,Patrick Wiesner,24
Butler,Hickory Twp,U.S. Senate,,D,Patrick Wiesner,6
Butler,Lincoln Twp,U.S. Senate,,D,Patrick Wiesner,15
Butler,Logan Twp,U.S. Senate,,D,Patrick Wiesner,15
Butler,Murdock Twp,U.S. Senate,,D,Patrick Wiesner,31
Butler,Prospect Twp,U.S. Senate,,D,Patrick Wiesner,102
Butler,Rock Creek Twp,U.S. Senate,,D,Patrick Wiesner,24
Butler,Rosalia Twp,U.S. Senate,,D,Patrick Wiesner,41
Butler,Spring Twp,U.S. Senate,,D,Patrick Wiesner,154
Butler,Walnut Twp,U.S. Senate,,D,Patrick Wiesner,58
Butler,,U.S. House,4,D,Daniel Giroux,6179
Butler,Andover W1,U.S. House,4,D,Daniel Giroux,675
Butler,Andover W2,U.S. House,4,D,Daniel Giroux,468
Butler,Andover W3,U.S. House,4,D,Daniel Giroux,242
Butler,Andover W4,U.S. House,4,D,Daniel Giroux,20
Butler,Augusta City W1,U.S. House,4,D,Daniel Giroux,198
Butler,Augusta City W2,U.S. House,4,D,Daniel Giroux,153
Butler,Augusta City W3,U.S. House,4,D,Daniel Giroux,325
Butler,Augusta City W4,U.S. House,4,D,Daniel Giroux,223
Butler,El Dorado W1,U.S. House,4,D,Daniel Giroux,379
Butler,El Dorado W2,U.S. House,4,D,Daniel Giroux,394
Butler,El Dorado W3,U.S. House,4,D,Daniel Giroux,253
Butler,El Dorado W4,U.S. House,4,D,Daniel Giroux,227
Butler,Rose Hill City,U.S. House,4,D,Daniel Giroux,460
Butler,Rose Hill City,U.S. House,4,D,Daniel Giroux,228
Butler,Benton City/Benton Twp,U.S. House,4,D,Daniel Giroux,235
Butler,Cassoday/Sycamore Twp,U.S. House,4,D,Daniel Giroux,24
Butler,Douglass City/Twp,U.S. House,4,D,Daniel Giroux,177
Butler,Elbing City/Fairmount Twp,U.S. House,4,D,Daniel Giroux,43
Butler,Latham/Union,U.S. House,4,D,Daniel Giroux,11
Butler,Leon/Little Walnut,U.S. House,4,D,Daniel Giroux,79
Butler,Potwin/Plum Grove,U.S. House,4,D,Daniel Giroux,56
Butler,Towanda City,U.S. House,4,D,Daniel Giroux,137
Butler,Towanda Twp,U.S. House,4,D,Daniel Giroux,73
Butler,Whitewater/Milton - 72,U.S. House,4,D,Daniel Giroux,60
Butler,Whitewater/Milton - 75,U.S. House,4,D,Daniel Giroux,29
Butler,Augusta Twp - 16,U.S. House,4,D,Daniel Giroux,68
Butler,Augusta Twp - 14,U.S. House,4,D,Daniel Giroux,38
Butler,Bloomington Twp,U.S. House,4,D,Daniel Giroux,48
Butler,Bruno Twp North - 77,U.S. House,4,D,Daniel Giroux,102
Butler,Bruno Twp South - 77,U.S. House,4,D,Daniel Giroux,25
Butler,Bruno Twp North - 99,U.S. House,4,D,Daniel Giroux,62
Butler,Bruno Twp South - 99,U.S. House,4,D,Daniel Giroux,26
Butler,Chelsea Twp,U.S. House,4,D,Daniel Giroux,24
Butler,Clay Twp,U.S. House,4,D,Daniel Giroux,8
Butler,Clifford Twp,U.S. House,4,D,Daniel Giroux,17
Butler,El Dorado Twp East,U.S. House,4,D,Daniel Giroux,26
Butler,El Dorado Twp West,U.S. House,4,D,Daniel Giroux,45
Butler,Fairview Twp,U.S. House,4,D,Daniel Giroux,45
Butler,Glencoe Twp,U.S. House,4,D,Daniel Giroux,26
Butler,Hickory Twp,U.S. House,4,D,Daniel Giroux,9
Butler,Lincoln Twp,U.S. House,4,D,Daniel Giroux,15
Butler,Logan Twp,U.S. House,4,D,Daniel Giroux,14
Butler,Murdock Twp,U.S. House,4,D,Daniel Giroux,32
Butler,Prospect Twp,U.S. House,4,D,Daniel Giroux,105
Butler,Rock Creek Twp,U.S. House,4,D,Daniel Giroux,20
Butler,Rosalia Twp,U.S. House,4,D,Daniel Giroux,48
Butler,Spring Twp,U.S. House,4,D,Daniel Giroux,149
Butler,Walnut Twp,U.S. House,4,D,Daniel Giroux,58
Butler,,U.S. House,4,R,Mike Pompeo,19135
Butler,Andover W1,U.S. House,4,R,Mike Pompeo,1787
Butler,Andover W2,U.S. House,4,R,Mike Pompeo,1150
Butler,Andover W3,U.S. House,4,R,Mike Pompeo,669
Butler,Andover W4,U.S. House,4,R,Mike Pompeo,96
Butler,Augusta City W1,U.S. House,4,R,Mike Pompeo,512
Butler,Augusta City W2,U.S. House,4,R,Mike Pompeo,409
Butler,Augusta City W3,U.S. House,4,R,Mike Pompeo,757
Butler,Augusta City W4,U.S. House,4,R,Mike Pompeo,781
Butler,El Dorado W1,U.S. House,4,R,Mike Pompeo,1063
Butler,El Dorado W2,U.S. House,4,R,Mike Pompeo,809
Butler,El Dorado W3,U.S. House,4,R,Mike Pompeo,633
Butler,El Dorado W4,U.S. House,4,R,Mike Pompeo,477
Butler,Rose Hill City,U.S. House,4,R,Mike Pompeo,1614
Butler,Rose Hill City,U.S. House,4,R,Mike Pompeo,811
Butler,Benton City/Benton Twp,U.S. House,4,R,Mike Pompeo,907
Butler,Cassoday/Sycamore Twp,U.S. House,4,R,Mike Pompeo,129
Butler,Douglass City/Twp,U.S. House,4,R,Mike Pompeo,572
Butler,Elbing City/Fairmount Twp,U.S. House,4,R,Mike Pompeo,241
Butler,Latham/Union,U.S. House,4,R,Mike Pompeo,51
Butler,Leon/Little Walnut,U.S. House,4,R,Mike Pompeo,248
Butler,Potwin/Plum Grove,U.S. House,4,R,Mike Pompeo,163
Butler,Towanda City,U.S. House,4,R,Mike Pompeo,382
Butler,Towanda Twp,U.S. House,4,R,Mike Pompeo,496
Butler,Whitewater/Milton - 72,U.S. House,4,R,Mike Pompeo,249
Butler,Whitewater/Milton - 75,U.S. House,4,R,Mike Pompeo,173
Butler,Augusta Twp - 16,U.S. House,4,R,Mike Pompeo,324
Butler,Augusta Twp - 14,U.S. House,4,R,Mike Pompeo,119
Butler,Bloomington Twp,U.S. House,4,R,Mike Pompeo,164
Butler,Bruno Twp North - 77,U.S. House,4,R,Mike Pompeo,409
Butler,Bruno Twp South - 77,U.S. House,4,R,Mike Pompeo,92
Butler,Bruno Twp North - 99,U.S. House,4,R,Mike Pompeo,234
Butler,Bruno Twp South - 99,U.S. House,4,R,Mike Pompeo,115
Butler,Chelsea Twp,U.S. House,4,R,Mike Pompeo,90
Butler,Clay Twp,U.S. House,4,R,Mike Pompeo,32
Butler,Clifford Twp,U.S. House,4,R,Mike Pompeo,86
Butler,El Dorado Twp East,U.S. House,4,R,Mike Pompeo,64
Butler,El Dorado Twp West,U.S. House,4,R,Mike Pompeo,190
Butler,Fairview Twp,U.S. House,4,R,Mike Pompeo,189
Butler,Glencoe Twp,U.S. House,4,R,Mike Pompeo,55
Butler,Hickory Twp,U.S. House,4,R,Mike Pompeo,39
Butler,Lincoln Twp,U.S. House,4,R,Mike Pompeo,105
Butler,Logan Twp,U.S. House,4,R,Mike Pompeo,39
Butler,Murdock Twp,U.S. House,4,R,Mike Pompeo,175
Butler,Prospect Twp,U.S. House,4,R,Mike Pompeo,391
Butler,Rock Creek Twp,U.S. House,4,R,Mike Pompeo,107
